class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.99,0.94,0.97,734,0.99,0.99,0.99,734,0.020000000000000018
horsebeans,0.55,0.81,0.65,114,0.67,0.9,0.77,114,0.12
meadow,0.97,0.95,0.96,1657,0.97,0.97,0.97,1657,0.010000000000000009
spring_barley,0.19,0.15,0.17,39,0.19,0.15,0.17,39,0.0
spring_oat,0.09,0.64,0.16,11,0.1,0.45,0.16,11,0.0
winter_barley,0.83,0.81,0.82,474,0.92,0.75,0.83,474,0.010000000000000009
winter_rapeseed,0.99,0.96,0.98,325,1.0,0.97,0.98,325,0.0
winter_rye,0.01,0.25,0.02,4,0.0,0.0,0.0,4,-0.02
winter_triticale,0.25,0.45,0.32,89,0.45,0.34,0.39,89,0.07
winter_wheat,0.98,0.93,0.95,3641,0.97,0.96,0.96,3641,0.010000000000000009
