checkpoint_loaded,checkpoint_path,dataset,dynamics_delta_cosine_mean,dynamics_delta_cosine_std,feature_dim,feature_mode,min_source_class_count,num_classes,sequence_length_source,sequence_length_target,source,source_compactness,source_delta_activity,source_late_early_radius_ratio,source_radius_phase_cv,source_reliability,source_samples,source_separability,suggested_strength_factor,suggested_view,target,target_assignment_entropy,target_delta_activity,target_margin,target_margin_ratio,target_nearest_distance,target_samples,task,temporal_mismatch_burstiness,temporal_mismatch_cv,temporal_mismatch_mean,temporal_mismatch_std,temporal_mismatch_top20_ratio,uniform_k3_adjusted_compression,uniform_k3_compression,uniform_k5_adjusted_compression,uniform_k5_compression,uniform_k8_adjusted_compression,uniform_k8_compression,view_dynamics_score,view_global_score,view_segmented_score
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/har_12_to_16_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HAR,0.028231238946318626,0.1960449516773224,128,pse,28,6,128,128,12,1.9379977955676542,0.26427343487739563,0.9915669560432434,0.03859398141503334,2.571127037683579,202,4.982841102282206,1.0014166326739842,global,16,0.9707048100912906,0.18278416991233826,1.2195910215377808,0.2662433683872223,3.633122682571411,231,12->16,1.1443980932235718,0.054970026715802284,1.5761926174163818,0.08664340525865555,0.21846753358840942,0.082196505655682,0.14236852400026379,0.10827876802076043,0.2421186858143507,0.15248015480661806,0.4312790058405367,0.274261677881227,0.5056665306959364,0.057762720040907635
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/har_6_to_23_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HAR,0.0024307365529239178,0.21821476519107819,128,pse,31,6,128,128,6,1.3887808687803223,0.31411853432655334,0.9888009428977966,0.041767630726099014,3.7691090912849687,205,5.234470367431641,1.0935515276898566,global,23,0.8641822158471766,0.3170819878578186,1.2542096376419067,0.28780749440193176,2.9999358654022217,234,6->23,1.2468725442886353,0.09918644352764841,1.782393217086792,0.17678934335708618,0.23406076431274414,0.132749184443488,0.22992833211945318,0.13553905392151636,0.30307453817452,0.14007656856704923,0.3961963660764116,0.4816256191200005,0.8742061107594268,0.13024157855407698
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/har_7_to_13_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HAR,0.042948950082063675,0.21911077201366425,128,pse,28,6,128,128,7,1.528279354891826,0.25483325123786926,0.9687516689300537,0.036356497555971146,3.2692580219345055,194,4.996342809995015,1.0336141444707236,global,13,0.9740781782167904,0.25518447160720825,1.2681927680969238,0.27296239137649536,2.6270389556884766,206,7->13,1.3079594373703003,0.09136010494706373,1.0856651067733765,0.09918656945228577,0.23112079501152039,0.009201304808024375,0.015937127423426012,0.06323587912672454,0.14139972434431614,0.10720645566574173,0.3032256471528838,0.36107966754856397,0.6344565778828944,0.043785825203471865
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/har_9_to_18_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HAR,0.005631656385958195,0.18266651034355164,128,pse,26,6,128,128,9,1.3264120487877018,0.15932752192020416,0.995863676071167,0.03004780411720276,2.3523735859659674,181,3.1202190200487774,0.9011515771235231,global,18,0.8707388296119742,0.10753180831670761,0.11368618905544281,0.05322965979576111,2.3960506916046143,229,9->18,1.1397199630737305,0.052494906595883635,1.1906609535217285,0.06250368803739548,0.21809369325637817,0.10889644312483947,0.1886141722557565,0.10523124515795128,0.23530421753012465,0.13842723296996404,0.3915313405358064,0.055358819389369276,0.10460630849409241,0.011585708261716983
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/hhar_sa_3_to_8_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HHAR_SA,0.02610994130373001,0.18747106194496155,128,pse,141,6,128,128,0,3.441652979577581,0.09061340987682343,0.9966127276420593,0.006217536050826311,1.1786853710837752,960,4.056627198060354,0.902585142922598,global,6,0.6814163736580628,0.0842011347413063,0.3606991171836853,0.1042264923453331,3.455338478088379,1051,0->6,1.079146385192871,0.03701408261497665,1.2944927215576172,0.047914497554302216,0.21286232769489288,0.04459037056997067,0.0772327873555132,0.08426011581771749,0.1884113467604216,0.11945148652862607,0.33785982458882013,0.0587061748126269,0.11034057169039177,0.009641440726404412
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/hhar_sa_3_to_8_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HHAR_SA,-0.02682444266974926,0.2346607893705368,128,pse,161,6,128,128,1,1.3035460401376089,0.08217909932136536,1.001684308052063,0.0061733303591609,5.029586167691615,1125,6.556302162011464,1.0231553545132748,global,6,0.9005820585382431,0.08342313021421432,0.46030938625335693,0.14328086376190186,3.0280940532684326,1051,1->6,1.0839238166809082,0.03291487209255699,1.4641385078430176,0.048191964626312256,0.2124183475971222,0.01964502735330483,0.03402618549200431,0.036062027481129806,0.08063714485427176,0.019483112936817103,0.055106565104986904,0.29785374891749034,0.5926214180530995,0.022074557869675316
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/hhar_sa_2_to_7_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HHAR_SA,0.04666037857532501,0.19503401219844818,128,pse,145,6,128,128,2,2.6868261931890465,0.09461220353841782,0.9973412752151489,0.009832163341343403,1.265765034899974,996,3.400891915957133,0.8951743433511631,global,7,0.791549021436655,0.09332757443189621,0.20330440998077393,0.06975091248750687,3.032010555267334,1005,2->7,1.1045985221862793,0.04860879040825021,1.1216068267822266,0.05451999977231026,0.21790508925914764,0.20541714461266428,0.355792931214858,0.1688219029757614,0.3774972511446766,0.1694823310060949,0.47936842218285103,0.04428418759443744,0.0806973734046525,0.014285705228671746
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/hhar_sa_3_to_8_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HHAR_SA,0.000565676367841661,0.22853133082389832,128,pse,138,6,128,128,3,1.3850364614752488,0.11470000445842743,1.0000170469284058,0.007118567358702421,3.2921982983159697,958,4.5598179737726845,1.03242107303497,global,8,0.9868886282252279,0.08577493578195572,1.1269209384918213,0.27056607604026794,2.473640203475952,1076,3->8,1.183945655822754,0.07950434576572821,0.7807331681251526,0.06207175925374031,0.2252674698829651,0.0034504974879819936,0.0059764369605735945,0.10080367697888683,0.22540387410672158,0.07468902570059072,0.2112524662124161,0.3400657232998662,0.6296842921398803,0.0685209899415114
True,/data/user/timematch/outputs/har_hhar_structure_overnight_har_hhar_fixed_compactk5_seed2_20260520_111906/hhar_sa_4_to_5_baseline_source_har_hhar_fixed_compactk5_seed2_20260520_111906/fold_0/model.pt,HHAR_SA,0.027210015803575516,0.19518913328647614,128,pse,140,6,128,128,4,1.3199139855809134,0.10265536606311798,1.0019601583480835,0.0073442887514829636,3.6643976703007564,1053,4.836693398157755,1.069714456282578,global,5,0.7569582948766702,0.07304517179727554,0.7693950533866882,0.22135068476200104,2.9307076930999756,1084,4->5,1.1059118509292603,0.03417198462814222,1.2610414028167725,0.04309232160449028,0.21394042670726776,0.15499410039250125,0.2684576567532434,0.12846170299307022,0.2872491003978932,0.17114803259024156,0.4840797377251842,0.41369493712998784,0.7788578251303119,0.1034724259415547
True,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v255b_baseline_allckpt_s010_rel003_baseline_epoch_100/fold_0/model.pt,remote,0.11309429258108139,0.35339394211769104,128,pse,7,12,52,58,denmark/32VNH/2017,0.7024067125021247,1.41243577003479,0.9657824039459229,0.12401731312274933,0.6843496853400526,2048,0.4806924970312552,0.8804131154236527,global,austria/33UVP/2017,0.7135732429522731,1.0786792039871216,0.04903247579932213,0.04521685466170311,1.0405488014221191,2048,DK1->AT1,2.5986149311065674,0.3770695453039268,1.6390248537063599,0.6180267333984375,0.31426554918289185,0.08373963080948597,0.1450412951690898,0.1671606721360751,0.3737826260608189,0.16667989215083984,0.47144192810920504,0.016594535973932505,0.02165246169461108,0.00498422066428262
