task,source,target,distance_mode,partition,partition_description,class_count,common_points,mean_domain_distance,locality_peak_ratio,locality_top20_mass,temporal_variation_ratio,partition_compression,complexity_adjusted_compression,segment_contrast,boundary_mass_ratio,boundary_mass_fraction,source_dispersion_mean,target_dispersion_mean,domain_to_source_dispersion_ratio,diagnostic_hint,segment_sizes
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,source_mad_l1,uniform:1,global,18,99,1.6115734540554523,2.761890591820767,0.3891869363180743,0.4703544176867396,0.0,0.0,0.0,0.0,0.0,1.9038069661351233,1.1962360221583086,0.8465004502673252,trajectory_dynamics_probe,[99]
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,joint_z_l2,uniform:1,global,18,99,3.474341699340098,2.684413235810445,0.38169660648523085,0.4476079131127582,0.0,0.0,0.0,0.0,0.0,1.9038069661351233,1.1962360221583086,1.8249443148079676,trajectory_dynamics_probe,[99]
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,source_mad_l1,uniform:2,uniform:2,18,99,1.6115734540554523,2.761890591820767,0.3891869363180743,0.4703544176867396,0.000646186232314272,0.0004569226667788074,0.014256387812579596,1.271387580438598,0.03852689637692721,1.9038069661351233,1.1962360221583086,0.8465004502673252,trajectory_dynamics_probe,"[50, 49]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,joint_z_l2,uniform:2,uniform:2,18,99,3.474341699340098,2.684413235810445,0.38169660648523085,0.4476079131127582,0.00020328569989080947,0.00014374469691104478,0.007661124655601654,1.2323399226702727,0.03734363402031129,1.9038069661351233,1.1962360221583086,1.8249443148079676,trajectory_dynamics_probe,"[50, 49]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,source_mad_l1,uniform:5,uniform:5,18,99,1.6115734540554523,2.761890591820767,0.3891869363180743,0.4703544176867396,0.12071129137255121,0.05398373063216168,0.19455907248176096,1.0198029123193681,0.12361247422052946,1.9038069661351233,1.1962360221583086,0.8465004502673252,trajectory_dynamics_probe,"[20, 20, 20, 20, 19]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,joint_z_l2,uniform:5,uniform:5,18,99,3.474341699340098,2.684413235810445,0.38169660648523085,0.4476079131127582,0.1292540581437931,0.057804172075446324,0.1928651087425538,1.0026836577521059,0.12153741306086131,1.9038069661351233,1.1962360221583086,1.8249443148079676,trajectory_dynamics_probe,"[20, 20, 20, 20, 19]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,source_mad_l1,uniform:10,uniform:10,18,99,1.6115734540554523,2.761890591820767,0.3891869363180743,0.4703544176867396,0.25044793214163175,0.07919859008468483,0.28446998678509455,1.01444881209497,0.2766678578440827,1.9038069661351233,1.1962360221583086,0.8465004502673252,trajectory_dynamics_probe,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,joint_z_l2,uniform:10,uniform:10,18,99,3.474341699340098,2.684413235810445,0.38169660648523085,0.4476079131127582,0.24903188283960653,0.07875079597733568,0.2713832834684018,1.0216741772900835,0.2786384119882046,1.9038069661351233,1.1962360221583086,1.8249443148079676,trajectory_dynamics_probe,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 9]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,source_mad_l1,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[18,88], [91,128], [138,178], [183,213], [216,251], [253,291], [293,326], [328,361]",18,99,1.6115734540554523,2.761890591820767,0.3891869363180743,0.4703544176867396,0.17767021427056728,0.0628159066627925,0.21519109761018695,1.0190480036625025,0.21616169774659144,1.9038069661351233,1.1962360221583086,0.8465004502673252,trajectory_dynamics_probe,"[12, 10, 12, 9, 13, 15, 14, 12]"
FR1_to_FR2,france/30TXT/2017,france/31TCJ/2017,joint_z_l2,doy_gap:5,"mode=doy_gap, segment_count=8, gap_threshold=45, min_points=3, max_points=8, max_span=120, intervals=[18,88], [91,128], [138,178], [183,213], [216,251], [253,291], [293,326], [328,361]",18,99,3.474341699340098,2.684413235810445,0.38169660648523085,0.4476079131127582,0.1849051565517641,0.06537384503705627,0.21184783202452093,1.0286350875666204,0.21819532160504065,1.9038069661351233,1.1962360221583086,1.8249443148079676,trajectory_dynamics_probe,"[12, 10, 12, 9, 13, 15, 14, 12]"
