dataset,task,source_baseline,source_best_variant,source_best,source_delta,da_baseline,da_best_variant,da_best,da_delta,baseline_da_minus_source,source_variants_tested,da_variants_tested
HAR,12->16,0.5849,compact_k5,0.5563,-0.02859999999999996,0.5738,compact_k5,0.7147,0.14090000000000003,-0.011099999999999999,1,1
HAR,2->11,0.7203,compact_k5,0.7189,-0.0014000000000000679,0.5639,compact_k5,0.6518,0.08790000000000009,-0.1564000000000001,1,1
HAR,6->23,0.7458,compact_k5,0.7117,-0.03410000000000002,0.7065,compact_k5,0.7154,0.008900000000000019,-0.0393,1,1
HAR,7->13,0.8686,compact_k5,0.8389,-0.02970000000000006,0.9013,compact_k5,0.8393,-0.061999999999999944,0.03269999999999995,1,1
HAR,9->18,0.3266,compact_k5,0.4184,0.09179999999999999,0.3139,compact_k5,0.2831,-0.030799999999999994,-0.012699999999999989,1,1
HHAR_SA,0->6,0.295,compact_k5,0.2157,-0.07929999999999998,0.3182,compact_k5,0.1388,-0.17939999999999998,0.0232,1,1
HHAR_SA,1->6,0.8197,compact_k5,0.7664,-0.053300000000000014,0.8397,compact_k5,0.7972,-0.04249999999999998,0.020000000000000018,1,1
HHAR_SA,2->7,0.4293,compact_k5,0.4001,-0.029200000000000004,0.354,compact_k5,0.3058,-0.048199999999999965,-0.07530000000000003,1,1
HHAR_SA,3->8,0.8695,compact_k5,0.8344,-0.03510000000000002,0.8985,compact_k5,0.8453,-0.053199999999999914,0.028999999999999915,1,1
HHAR_SA,4->5,0.8994,compact_k5,0.8635,-0.03589999999999993,0.8565,compact_k5,0.8844,0.027899999999999925,-0.04289999999999994,1,1
