class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.99,0.99,0.99,2053,0.99,1.0,0.99,2053,0.0
horsebeans,1.0,0.37,0.54,95,0.98,0.47,0.64,95,0.09999999999999998
meadow,0.97,0.99,0.98,3629,0.98,0.98,0.98,3629,0.0
spring_barley,0.16,0.58,0.26,53,0.15,0.83,0.26,53,0.0
spring_peas,0.44,0.29,0.35,14,0.31,0.36,0.33,14,-0.019999999999999962
sunflowers,0.38,0.6,0.46,5,0.21,0.6,0.32,5,-0.14
unknown,0.71,0.73,0.72,1294,0.81,0.72,0.76,1294,0.040000000000000036
winter_barley,0.97,0.86,0.91,926,0.99,0.9,0.94,926,0.029999999999999916
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
winter_rapeseed,0.98,0.98,0.98,195,0.98,1.0,0.99,195,0.010000000000000009
winter_triticale,0.51,0.35,0.41,298,0.61,0.38,0.47,298,0.06
winter_wheat,0.89,0.9,0.89,1271,0.9,0.96,0.93,1271,0.040000000000000036
