class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.96,1.0,0.98,1865,0.98,1.0,0.99,1865,0.010000000000000009
horsebeans,0.93,0.34,0.5,82,1.0,0.23,0.38,82,-0.12
meadow,0.99,0.99,0.99,3145,1.0,0.99,0.99,3145,0.0
spring_barley,0.21,0.56,0.3,55,0.2,0.36,0.25,55,-0.04999999999999999
spring_oat,0.9,0.18,0.3,99,1.0,0.05,0.1,99,-0.19999999999999998
spring_peas,1.0,0.26,0.42,19,0.33,0.26,0.29,19,-0.13
spring_wheat,0.25,0.08,0.12,13,0.02,0.08,0.03,13,-0.09
winter_barley,0.83,0.99,0.9,856,0.84,0.99,0.91,856,0.010000000000000009
winter_rapeseed,0.98,1.0,0.99,194,0.99,0.99,0.99,194,0.0
winter_rye,0.34,0.53,0.41,103,0.56,0.09,0.15,103,-0.26
winter_triticale,0.72,0.05,0.1,254,0.56,0.26,0.35,254,0.24999999999999997
winter_wheat,0.87,0.87,0.87,1209,0.83,0.94,0.88,1209,0.010000000000000009
