source,source_dataset,source_checkpoint,source_mean_f1,source_f1_std,target_count,source_encoded_amplitude_excursion_mean,source_encoded_amplitude_excursion_cv,source_encoded_amplitude_phase_energy_cv_mean,source_encoded_amplitude_late_early_energy_ratio_mean,source_encoded_interphase_adjacent_jump_mean,source_encoded_interphase_adjacent_jump_cv,source_encoded_interphase_boundary_sharpness_mean,source_encoded_interphase_early_late_shift_mean,source_encoded_interphase_global_separation_mean,source_encoded_intraphase_radius_mean,source_encoded_intraphase_radius_phase_cv_mean,source_encoded_intraphase_internal_step_mean,source_encoded_intraphase_late_early_radius_ratio_mean,source_encoded_trend_path_length_mean,source_encoded_trend_directionality_mean,source_encoded_trend_curvature_mean,source_encoded_trend_burstiness_mean
AT1,austria/33UVP/2017,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005/fold_0/model.pt,0.6866295505332628,0.07761101464812935,3,9.438234329223633,0.0837516263127327,0.03645584359765053,1.016548991203308,2.276184320449829,0.1831846535205841,1.2751619815826416,1.8773304224014282,2.3864409923553467,3.7012462615966797,0.10193827003240585,2.462587833404541,1.1179593801498413,69.05294799804688,0.03713994473218918,3.688704013824463,1.8886054754257202
DK1,denmark/32VNH/2017,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005/fold_0/model.pt,0.5624739725445157,0.09713399577280045,3,8.497154235839844,0.05370893329381943,0.06429699063301086,0.9700971245765686,2.0843093395233154,0.18507133424282074,1.2293052673339844,1.2374833822250366,2.125361204147339,3.5025055408477783,0.09270969778299332,1.9099018573760986,0.91275554895401,55.724979400634766,0.0518571138381958,2.9853250980377197,1.609846591949463
FR1,france/30TXT/2017,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005/fold_0/model.pt,0.7285607029492011,0.03507689173304688,3,6.339834690093994,0.1213802620768547,0.050118349492549896,1.0005176067352295,1.4658621549606323,0.3021148443222046,1.3423434495925903,1.2230899333953857,1.5135003328323364,2.5841071605682373,0.11284546554088593,1.569524884223938,1.2732609510421753,44.53968811035156,0.04945799335837364,2.6284162998199463,2.027932643890381
FR2,france/31TCJ/2017,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s012_rel005/fold_0/model.pt,0.6213918052558388,0.0777516563791249,3,8.909096717834473,0.12972761690616608,0.13477689027786255,0.9471401572227478,2.4279043674468994,0.3053378462791443,1.4420642852783203,1.9088603258132935,2.530700922012329,3.138179302215576,0.057985175400972366,1.7413992881774902,1.0748367309570312,51.54719161987305,0.07038817554712296,2.7376863956451416,2.16670298576355
