family,top_metric,top_abs_corr,top_corr,avg_abs_corr,metric_count
intra_phase_compact_smooth,source_encoded_intraphase_late_early_radius_ratio_mean,0.7925452625480575,0.7925452625480575,0.5900509806033871,4
inter_phase_contrast,source_encoded_interphase_global_separation_mean,0.5658758861911786,-0.5658758861911786,0.5163673387354443,5
amplitude_spread,source_encoded_amplitude_excursion_cv,0.580634714864817,0.580634714864817,0.4797978110785457,4
trend_activity,source_encoded_trend_burstiness_mean,0.4890003913138929,0.4890003913138929,0.4081838020195697,4
