class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.94,0.96,0.95,697,0.91,0.97,0.94,697,-0.010000000000000009
horsebeans,0.92,0.63,0.75,54,0.87,0.83,0.85,54,0.09999999999999998
meadow,0.93,0.95,0.94,2238,0.89,0.99,0.94,2238,0.0
spring_barley,0.95,0.67,0.79,2478,0.96,0.57,0.71,2478,-0.08000000000000007
spring_oat,0.23,0.52,0.32,264,0.21,0.73,0.33,264,0.010000000000000009
winter_barley,0.95,0.81,0.87,694,0.9,0.93,0.92,694,0.050000000000000044
winter_rapeseed,0.99,0.92,0.95,538,0.98,0.98,0.98,538,0.030000000000000027
winter_rye,0.49,0.73,0.59,698,0.71,0.89,0.79,698,0.20000000000000007
winter_triticale,0.03,0.67,0.07,70,0.11,0.56,0.19,70,0.12
winter_wheat,0.95,0.31,0.47,1742,0.99,0.77,0.87,1742,0.4
