class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.99,0.96,0.97,3350,0.98,0.98,0.98,3350,0.010000000000000009
horsebeans,0.0,0.0,0.0,95,0.94,0.17,0.29,95,0.29
meadow,0.97,0.99,0.98,9399,0.98,0.99,0.99,9399,0.010000000000000009
spring_barley,0.25,0.77,0.37,75,0.61,0.75,0.67,75,0.30000000000000004
spring_oat,0.5,0.12,0.2,8,1.0,0.12,0.22,8,0.01999999999999999
spring_peas,1.0,0.18,0.31,66,0.83,0.74,0.78,66,0.47000000000000003
spring_wheat,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0
winter_barley,0.57,0.93,0.71,798,0.67,0.98,0.79,798,0.08000000000000007
winter_rapeseed,0.99,0.93,0.96,732,0.99,0.96,0.98,732,0.020000000000000018
winter_rye,0.01,0.38,0.03,8,0.07,0.38,0.12,8,0.09
winter_triticale,0.0,0.0,0.0,473,0.81,0.2,0.32,473,0.32
winter_wheat,0.94,0.89,0.91,3762,0.96,0.94,0.95,3762,0.039999999999999925
