source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_compactness_p1,source_phase_compactness_p2,source_phase_margin_p2,source_phase_compactness_p3,source_phase_compactness_p4,source_phase_compactness_p5,source_phase_margin_p3,source_phase_margin_p4,source_phase_separability_p3,source_phase_separability_p5,source_phase_separability_p1,source_phase_separability_p4,source_phase_margin_p5,source_phase_separability_p2,source_phase_margin_p1,source_samples,source_phase_boundary_1,source_phase_boundary_2,source_phase_boundary_3,source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,uniform,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift,0.7945527984749808,0.9578964748617188,0.9640634059906006,0.7470788955688477,0.4643547236919403,0.930088222026825,0.7741987109184265,0.6825490593910217,0.46026572585105896,0.19933998584747314,0.8015525937080383,0.2185882180929184,0.5211056470870972,0.15663142502307892,0.18436549603939056,0.912118673324585,0.30785343050956726,106028,,,,,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,uniform,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift,0.6581404601787256,0.9479606188466948,0.9925994873046875,0.814889669418335,0.47938892245292664,0.9886903166770935,0.8389173150062561,0.7875003218650818,0.4829055070877075,0.19947127997875214,0.8765421509742737,0.21402740478515625,0.5741956233978271,0.15392683446407318,0.18557143211364746,1.032835602760315,0.3134736716747284,106028,,,,,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,uniform,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift,0.8135698493777221,0.9696019629225736,1.1204721927642822,0.9177924394607544,0.4671473801136017,1.1021414995193481,0.9184026718139648,0.8524325489997864,0.4731653928756714,0.1948251575231552,0.786433219909668,0.21177484095096588,0.5630241632461548,0.1451340764760971,0.1853466033935547,0.9602360725402832,0.3066144287586212,106028,,,,,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,uniform,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift,0.6513283731186127,0.9263060182558919,0.44949963688850403,0.4009096324443817,0.4535123407840729,0.3960129916667938,0.560329258441925,0.6387088298797607,0.5025889277458191,0.24862998723983765,1.2344549894332886,0.1496957689523697,0.8471885323524475,0.3609898090362549,0.15526773035526276,1.5310128927230835,0.3489125072956085,74156,,,,,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,uniform,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift,0.5156133774457572,0.743421897060711,0.43975985050201416,0.4049193859100342,0.4423488676548004,0.3681996464729309,0.5288304090499878,0.6142625212669373,0.5110620856285095,0.253871887922287,1.1866346597671509,0.1619589775800705,0.8416736125946045,0.37309423089027405,0.15892192721366882,1.4577525854110718,0.3517608344554901,74156,,,,,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,uniform,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift,0.6545428390632363,0.957550358253346,0.4522174894809723,0.4185367524623871,0.43414273858070374,0.38877540826797485,0.5527989268302917,0.601565420627594,0.500765860080719,0.24667532742023468,1.1210283041000366,0.15476752817630768,0.7997388243675232,0.3395199477672577,0.15777195990085602,1.3400546312332153,0.3423006534576416,74156,,,,,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,uniform,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift,0.5682796658061672,0.958042702731484,0.28478968143463135,0.2781531810760498,0.32958438992500305,0.21417097747325897,0.33235964179039,0.29212188720703125,0.3871251046657562,0.17546747624874115,0.6199268698692322,0.17361195385456085,0.37540242075920105,0.16654585301876068,0.1879691630601883,0.9556584358215332,0.2185748666524887,53823,,,,,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,uniform,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift,0.45307837369305637,0.9231816943612094,0.25999370217323303,0.2529104948043823,0.32511910796165466,0.18800824880599976,0.28691720962524414,0.25983840227127075,0.3800729513168335,0.16883283853530884,0.5779500603675842,0.17331312596797943,0.38177505135536194,0.15115219354629517,0.18434877693653107,0.9426843523979187,0.21485179662704468,53823,,,,,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,uniform,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift,0.6702959698139771,0.9489481785531042,0.27921271324157715,0.28032487630844116,0.32199105620384216,0.21269197762012482,0.3085421323776245,0.2856663465499878,0.37964197993278503,0.16980870068073273,0.5934783220291138,0.17205743491649628,0.35350194573402405,0.1532176285982132,0.18338163197040558,0.9698092341423035,0.21792824566364288,53823,,,,,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,uniform,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift,0.7142810780316066,0.9255609703850479,0.48633599281311035,0.4064791202545166,0.4445784091949463,0.27269527316093445,0.26823893189430237,0.3174385130405426,0.6312789916992188,0.32321658730506897,1.4148640632629395,0.1165965124964714,0.22384846210479736,0.6563000679016113,0.13386614620685577,1.4266077280044556,0.17137359082698822,43809,,,,,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,True,uniform,5,10,1,timematch_33UVP_to_31TCJ_closedset_noshift,0.6214111953583912,0.9183560122188281,0.3255545496940613,0.32258340716362,0.43354424834251404,0.22419115900993347,0.21807798743247986,0.24682511389255524,0.6091337203979492,0.30845198035240173,1.3257449865341187,0.11567306518554688,0.24682366847991943,0.5553714632987976,0.12900586426258087,1.2690263986587524,0.16282714903354645,43809,,,,,/data/user/timematch/outputs/timematch_33UVP_to_31TCJ_closedset_noshift
