source,target,source_dataset,target_dataset,target_f1,source_checkpoint,source_encoded_amplitude_excursion_mean,source_encoded_amplitude_excursion_cv,source_encoded_amplitude_phase_energy_cv_mean,source_encoded_amplitude_late_early_energy_ratio_mean,source_encoded_interphase_adjacent_jump_mean,source_encoded_interphase_adjacent_jump_cv,source_encoded_interphase_boundary_sharpness_mean,source_encoded_interphase_early_late_shift_mean,source_encoded_interphase_global_separation_mean,source_encoded_intraphase_radius_mean,source_encoded_intraphase_radius_phase_cv_mean,source_encoded_intraphase_internal_step_mean,source_encoded_intraphase_late_early_radius_ratio_mean,source_encoded_trend_path_length_mean,source_encoded_trend_directionality_mean,source_encoded_trend_curvature_mean,source_encoded_trend_burstiness_mean
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,0.7785089264494895,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,3.323913812637329,0.20275336503982544,0.16920295357704163,0.877916693687439,0.865281343460083,0.34807634353637695,1.3984224796295166,0.6155474781990051,0.8846464157104492,1.2712054252624512,0.10870413482189178,0.728981614112854,1.1805026531219482,20.760021209716797,0.05863131210207939,1.185155987739563,2.2464945316314697
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,0.6562862644392059,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,3.323913812637329,0.20275336503982544,0.16920295357704163,0.877916693687439,0.865281343460083,0.34807634353637695,1.3984224796295166,0.6155474781990051,0.8846464157104492,1.2712054252624512,0.10870413482189178,0.728981614112854,1.1805026531219482,20.760021209716797,0.05863131210207939,1.185155987739563,2.2464945316314697
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,0.8238071818121704,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,3.323913812637329,0.20275336503982544,0.16920295357704163,0.877916693687439,0.865281343460083,0.34807634353637695,1.3984224796295166,0.6155474781990051,0.8846464157104492,1.2712054252624512,0.10870413482189178,0.728981614112854,1.1805026531219482,20.760021209716797,0.05863131210207939,1.185155987739563,2.2464945316314697
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,0.6981721287676111,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.061110973358154,0.125454381108284,0.13994845747947693,0.8793410658836365,1.3297826051712036,0.3304581642150879,1.4724830389022827,1.0644985437393188,1.3705297708511353,1.9919878244400024,0.05653873458504677,1.030002236366272,0.9651826024055481,30.35841941833496,0.056880369782447815,1.6113969087600708,2.1272153854370117
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,0.564798184168403,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.061110973358154,0.125454381108284,0.13994845747947693,0.8793410658836365,1.3297826051712036,0.3304581642150879,1.4724830389022827,1.0644985437393188,1.3705297708511353,1.9919878244400024,0.05653873458504677,1.030002236366272,0.9651826024055481,30.35841941833496,0.056880369782447815,1.6113969087600708,2.1272153854370117
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,0.6445736790637517,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.061110973358154,0.125454381108284,0.13994845747947693,0.8793410658836365,1.3297826051712036,0.3304581642150879,1.4724830389022827,1.0644985437393188,1.3705297708511353,1.9919878244400024,0.05653873458504677,1.030002236366272,0.9651826024055481,30.35841941833496,0.056880369782447815,1.6113969087600708,2.1272153854370117
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,0.5490369751846679,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.907786846160889,0.12291789054870605,0.11373388767242432,0.9800286293029785,1.4709469079971313,0.16249726712703705,1.1841624975204468,0.9590701460838318,1.5193215608596802,2.3498618602752686,0.0814461037516594,1.2660157680511475,0.9380161166191101,37.05107116699219,0.05959068611264229,1.9505624771118164,1.9930723905563354
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,0.501627819501561,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.907786846160889,0.12291789054870605,0.11373388767242432,0.9800286293029785,1.4709469079971313,0.16249726712703705,1.1841624975204468,0.9590701460838318,1.5193215608596802,2.3498618602752686,0.0814461037516594,1.2660157680511475,0.9380161166191101,37.05107116699219,0.05959068611264229,1.9505624771118164,1.9930723905563354
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,0.5495008327345609,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,5.907786846160889,0.12291789054870605,0.11373388767242432,0.9800286293029785,1.4709469079971313,0.16249726712703705,1.1841624975204468,0.9590701460838318,1.5193215608596802,2.3498618602752686,0.0814461037516594,1.2660157680511475,0.9380161166191101,37.05107116699219,0.05959068611264229,1.9505624771118164,1.9930723905563354
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,0.6702918177708921,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003/fold_0/model.pt,6.1292643547058105,0.12243739515542984,0.08424810320138931,0.9947460293769836,1.4916788339614868,0.15711161494255066,1.1873071193695068,0.8891380429267883,1.4836241006851196,2.3412771224975586,0.10767773538827896,1.5687931776046753,1.2433381080627441,44.16169357299805,0.03351907059550285,2.3438923358917236,1.7055555582046509
