Task,Timematch
FR1 ? FR2,0.7106515
FR1 ? DK1,0.4611103
FR1 ? AT1,0.6322791
FR2 ? FR1,0.6444620
FR2 ? DK1,0.3344439
FR2 ? AT1,0.5473136
DK1 ? FR1,0.5009737
DK1 ? FR2,0.3904035
DK1 ? AT1,0.6040770
AT1 ? FR1,0.6775294
AT1 ? FR2,0.5947714
AT1 ? DK1,0.5391444
