Task,Timematch
FR1 → FR2,0.7442759
FR1 → DK1,0.5231949
FR1 → AT1,0.6172471
FR2 → FR1,0.6253400
FR2 → DK1,0.3588259
FR2 → AT1,0.4603423
DK1 → FR1,0.4806918
DK1 → FR2,0.4055774
DK1 → AT1,0.5174122
AT1 → FR1,0.6867903
AT1 → FR2,0.6321117
AT1 → DK1,0.6842788
