class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.99,1.0,0.99,1798,0.99,1.0,1.0,1798,0.010000000000000009
horsebeans,0.95,0.88,0.91,96,0.91,0.93,0.92,96,0.010000000000000009
meadow,0.99,1.0,1.0,2901,1.0,1.0,1.0,2901,0.0
spring_barley,0.28,0.71,0.4,38,0.25,0.92,0.4,38,0.0
spring_peas,0.83,0.5,0.62,10,0.42,0.5,0.45,10,-0.16999999999999998
sunflowers,0.5,1.0,0.67,5,0.56,1.0,0.71,5,0.039999999999999925
winter_barley,0.99,0.97,0.98,852,0.99,0.97,0.98,852,0.0
winter_oat,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
winter_rapeseed,0.99,0.99,0.99,194,0.99,1.0,0.99,194,0.0
winter_triticale,0.93,0.47,0.63,245,0.91,0.61,0.73,245,0.09999999999999998
winter_wheat,0.91,0.94,0.93,1194,0.96,0.94,0.95,1194,0.019999999999999907
