dataset,task,source_baseline,source_best_variant,source_best,source_delta,da_baseline,da_best_variant,da_best,da_delta,baseline_da_minus_source,source_variants_tested,da_variants_tested
HAR,12->16,0.5698,compact_k5,0.5875,0.01770000000000005,0.5046,compact_k5,0.2168,-0.28780000000000006,-0.06519999999999992,1,1
HAR,2->11,0.7323,compact_k5,0.7117,-0.02059999999999995,0.675,compact_k5,0.7518,0.07679999999999998,-0.05729999999999991,1,1
HAR,6->23,0.7133,compact_k5,0.7219,0.008599999999999941,0.6591,compact_k5,0.6054,-0.05369999999999997,-0.054200000000000026,1,1
HAR,7->13,0.8802,compact_k5,0.8919,0.011700000000000044,0.8828,compact_k5,0.9118,0.029000000000000026,0.0026000000000000467,1,1
HAR,9->18,0.4891,compact_k5,0.621,0.13190000000000002,0.3668,compact_k5,0.5128,0.14600000000000002,-0.12229999999999996,1,1
HHAR_SA,0->6,0.3287,compact_k5,0.2407,-0.088,0.2516,compact_k5,0.1379,-0.1137,-0.0771,1,1
HHAR_SA,1->6,0.7597,compact_k5,0.7458,-0.013900000000000023,0.8285,compact_k5,0.701,-0.12750000000000006,0.06879999999999997,1,1
HHAR_SA,2->7,0.4515,compact_k5,0.5919,0.14039999999999997,0.2494,compact_k5,0.3455,0.09609999999999996,-0.2021,1,1
HHAR_SA,3->8,0.8683,compact_k5,0.8501,-0.018199999999999994,0.8769,compact_k5,0.9153,0.03839999999999999,0.008600000000000052,1,1
HHAR_SA,4->5,0.8524,compact_k5,0.9273,0.07489999999999997,0.8528,compact_k5,0.9443,0.09150000000000003,0.00039999999999995595,1,1
