class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.87,0.95,0.9,3268,0.97,0.97,0.97,3268,0.06999999999999995
horsebeans,0.95,0.53,0.68,70,0.95,0.76,0.84,70,0.15999999999999992
meadow,0.95,1.0,0.97,9671,0.96,1.0,0.98,9671,0.010000000000000009
spring_barley,0.07,0.21,0.11,75,0.62,0.27,0.37,75,0.26
spring_peas,0.75,0.05,0.1,58,1.0,0.17,0.29,58,0.18999999999999997
sunflowers,0.95,0.63,0.75,252,0.99,0.77,0.87,252,0.12
winter_barley,0.88,0.74,0.8,756,0.9,0.92,0.91,756,0.10999999999999999
winter_oat,0.92,0.41,0.57,107,0.95,0.18,0.3,107,-0.26999999999999996
winter_peas,0.28,0.62,0.39,21,0.41,0.57,0.48,21,0.08999999999999997
winter_rapeseed,0.98,0.96,0.97,709,1.0,0.98,0.99,709,0.020000000000000018
winter_triticale,0.81,0.31,0.44,525,0.73,0.54,0.62,525,0.18
winter_wheat,0.94,0.89,0.91,3903,0.95,0.95,0.95,3903,0.039999999999999925
