class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.96,0.95,0.95,3777,0.89,0.98,0.93,3777,-0.019999999999999907
horsebeans,0.94,0.74,0.83,88,0.79,0.86,0.83,88,0.0
meadow,0.94,0.97,0.95,10442,0.95,0.98,0.96,10442,0.010000000000000009
spring_barley,0.35,0.21,0.27,70,0.56,0.63,0.59,70,0.31999999999999995
spring_peas,1.0,0.07,0.12,46,0.75,0.33,0.45,46,0.33
sunflowers,0.77,0.93,0.84,270,0.78,0.94,0.85,270,0.010000000000000009
unknown,0.56,0.64,0.6,1894,0.71,0.37,0.49,1894,-0.10999999999999999
winter_barley,0.91,0.77,0.84,853,0.94,0.91,0.93,853,0.09000000000000008
winter_oat,0.5,0.63,0.56,95,0.61,0.56,0.58,95,0.019999999999999907
winter_peas,0.56,0.31,0.4,16,0.35,0.75,0.48,16,0.07999999999999996
winter_rapeseed,0.96,0.95,0.96,777,0.96,0.98,0.97,777,0.010000000000000009
winter_triticale,0.68,0.48,0.56,535,0.57,0.57,0.57,535,0.009999999999999898
winter_wheat,0.97,0.92,0.94,4288,0.93,0.97,0.95,4288,0.010000000000000009
