class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.9,0.91,0.91,3727,0.88,0.97,0.92,3727,0.010000000000000009
horsebeans,0.85,0.19,0.31,89,0.65,0.25,0.36,89,0.04999999999999999
meadow,0.91,0.79,0.85,10552,0.94,0.98,0.96,10552,0.10999999999999999
spring_barley,0.11,0.76,0.19,75,0.5,0.69,0.58,75,0.38999999999999996
spring_oat,0.0,0.0,0.0,12,0.17,0.08,0.11,12,0.11
spring_peas,0.71,0.24,0.36,63,0.74,0.68,0.71,63,0.35
spring_wheat,0.0,0.0,0.0,5,0.0,0.0,0.0,5,0.0
unknown,0.27,0.32,0.29,2260,0.82,0.27,0.4,2260,0.11000000000000004
winter_barley,0.42,0.91,0.58,857,0.47,0.98,0.63,857,0.050000000000000044
winter_rapeseed,0.98,0.94,0.96,776,0.97,0.98,0.97,776,0.010000000000000009
winter_rye,0.01,0.33,0.02,6,0.0,0.0,0.0,6,-0.02
winter_triticale,0.5,0.11,0.18,503,0.58,0.24,0.34,503,0.16000000000000003
winter_wheat,0.92,0.87,0.89,4226,0.94,0.94,0.94,4226,0.04999999999999993
