Task,Timematch
FR1 -> FR2,0.7945527984749808
FR1 -> AT1,0.8135698493777221
FR1 -> DK1,0.6581404601787256
FR2 -> FR1,0.6513283731186127
FR2 -> AT1,0.6545428390632363
FR2 -> DK1,0.5156133774457572
DK1 -> FR1,0.5682796658061672
DK1 -> FR2,0.45307837369305637
DK1 -> AT1,0.6702959698139771
AT1 -> FR1,0.7142810780316066
AT1 -> FR2,0.6214111953583912
AT1 -> DK1,0.7483376774611116
