class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.99,0.87,0.93,3255,0.99,0.94,0.96,3255,0.029999999999999916
horsebeans,0.95,0.64,0.77,92,0.94,0.72,0.81,92,0.040000000000000036
meadow,0.97,0.97,0.97,9455,0.97,1.0,0.98,9455,0.010000000000000009
spring_barley,0.39,0.5,0.44,74,0.49,0.49,0.49,74,0.04999999999999999
spring_oat,0.1,0.4,0.16,5,0.2,0.2,0.2,5,0.04000000000000001
winter_barley,0.59,0.9,0.71,792,0.86,0.96,0.91,792,0.20000000000000007
winter_rapeseed,1.0,0.98,0.99,706,1.0,0.98,0.99,706,0.0
winter_rye,0.01,0.7,0.02,10,0.02,0.6,0.03,10,0.009999999999999998
winter_triticale,0.49,0.69,0.57,497,0.78,0.68,0.72,497,0.15000000000000002
winter_wheat,0.97,0.74,0.84,3735,0.98,0.88,0.93,3735,0.09000000000000008
