source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_separability_p4,raw_source_phase_margin_p1,raw_source_phase_separability_p1,source_phase_margin_p4,source_phase_compactness_p2,source_phase_separability_p5,source_phase_margin_p5,source_phase_compactness_p4,raw_source_phase_margin_p5,raw_source_phase_separability_p5,source_phase_compactness_p1,source_phase_separability_p2,source_phase_compactness_p3,source_phase_margin_p2,source_phase_compactness_p5,raw_source_phase_margin_p2,raw_source_phase_margin_p4,source_phase_margin_p3,raw_source_phase_separability_p2,raw_source_phase_compactness_p5,source_phase_separability_p3,raw_source_phase_separability_p4,raw_source_phase_compactness_p2,raw_source_phase_compactness_p1,raw_source_phase_compactness_p4,source_phase_margin_p1,raw_source_phase_separability_p3,raw_source_phase_compactness_p3,source_phase_separability_p1,raw_source_phase_margin_p3,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.7785089264494895,0.9519524477833733,0.8045108914375305,0.12133369594812393,0.23531368374824524,0.44110020995140076,0.4595739543437958,0.1741015464067459,0.1879291534423828,0.604893147945404,0.09561069309711456,0.14493295550346375,0.7083336114883423,1.3374005556106567,0.4732118844985962,0.5030514001846313,0.49704626202583313,0.17981918156147003,0.14043205976486206,0.3973982632160187,0.5935841202735901,174.82595825195312,0.5716783404350281,0.26774656772613525,335.4552307128906,275.77813720703125,311.335693359375,0.2997869551181793,0.045899730175733566,134.81764221191406,0.5775691270828247,0.062199804931879044,106028,73493,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6562862644392059,0.9529471934535225,0.8613820672035217,0.12133369594812393,0.23531368374824524,0.42010053992271423,0.5406612753868103,0.15759609639644623,0.18382328748703003,0.6294031739234924,0.09561069309711456,0.14493295550346375,0.8100541234016418,1.351399540901184,0.6130355596542358,0.5244168639183044,0.6456750631332397,0.17981918156147003,0.14043205976486206,0.4181010127067566,0.5935841202735901,174.82595825195312,0.6196002960205078,0.26774656772613525,335.4552307128906,275.77813720703125,311.335693359375,0.30118072032928467,0.045899730175733566,134.81764221191406,0.5967594385147095,0.062199804931879044,106028,48123,6,16,9,19,13,23,19,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.8238071818121704,0.9689203925845147,0.8115530014038086,0.12133369594812393,0.23531368374824524,0.4498852789402008,0.6479630470275879,0.16127751767635345,0.185611292719841,0.843433141708374,0.09561069309711456,0.14493295550346375,0.9312266707420349,1.466540813446045,0.6722571849822998,0.5124578475952148,0.712785005569458,0.17981918156147003,0.14043205976486206,0.4054679870605469,0.5935841202735901,174.82595825195312,0.6227911710739136,0.26774656772613525,335.4552307128906,275.77813720703125,311.335693359375,0.2974272668361664,0.045899730175733566,134.81764221191406,0.5797926187515259,0.062199804931879044,106028,42731,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6981721287676111,0.9605487081635811,0.6216086745262146,0.10428790003061295,0.12085629254579544,0.34213003516197205,0.32687196135520935,0.13154682517051697,0.15909941494464874,0.43628913164138794,0.05872982740402222,0.0682501420378685,0.3129282593727112,0.861716091632843,0.26342618465423584,0.36981552839279175,0.3624899685382843,0.19164124131202698,0.13181829452514648,0.5170021057128906,0.839356541633606,149.06671142578125,1.0284531116485596,0.1994227170944214,483.4267578125,501.195556640625,619.5103149414062,0.2493237853050232,1.3665719032287598,680.4117431640625,0.4264543056488037,0.29266807436943054,74156,106107,3,3,13,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.564798184168403,0.9231164163778719,0.21167270839214325,0.10428790003061295,0.12085629254579544,0.19786310195922852,0.2370511293411255,0.08325362205505371,0.12862303853034973,0.35605496168136597,0.05872982740402222,0.0682501420378685,0.3428904116153717,0.9767864942550659,0.36208271980285645,0.4916926920413971,0.38091206550598145,0.19164124131202698,0.13181829452514648,0.39423537254333496,0.839356541633606,149.06671142578125,0.7714617848396301,0.1994227170944214,483.4267578125,501.195556640625,619.5103149414062,0.3561510145664215,1.3665719032287598,680.4117431640625,0.8156169056892395,0.29266807436943054,74156,48123,12,3,16,13,19,17,26,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6445736790637517,0.9540354197647695,0.571688711643219,0.10428790003061295,0.12085629254579544,0.3423968553543091,0.33157286047935486,0.14429877698421478,0.16226771473884583,0.4191220998764038,0.05872982740402222,0.0682501420378685,0.3050575852394104,0.8507497906684875,0.25523123145103455,0.3701477646827698,0.32716038823127747,0.19164124131202698,0.13181829452514648,0.45533305406570435,0.839356541633606,149.06671142578125,0.8356146812438965,0.1994227170944214,483.4267578125,501.195556640625,619.5103149414062,0.24583637714385986,1.3665719032287598,680.4117431640625,0.40161800384521484,0.29266807436943054,74156,42731,3,3,12,13,17,17,20,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.5490369751846679,0.9307278632660668,0.149636372923851,0.0698949545621872,0.0794692412018776,0.17017734050750732,0.2213926464319229,0.11597621440887451,0.15537063777446747,0.21964740753173828,0.05414534732699394,0.03978513926267624,0.17031329870224,0.7987205982208252,0.1516110748052597,0.30566462874412537,0.16562482714653015,0.1222417876124382,0.08052527159452438,0.36012545228004456,0.2234310656785965,222.9741668701172,0.5187375545501709,0.21902036666870117,364.2541809082031,174.64564514160156,334.7867126464844,0.2073129564523697,0.056327976286411285,162.55735778808594,0.30542948842048645,0.0791436955332756,53823,104447,6,5,12,12,18,23,27,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.501627819501561,0.9205938436393354,0.13852939009666443,0.0698949545621872,0.0794692412018776,0.16331250965595245,0.19012336432933807,0.11124692112207413,0.15059690177440643,0.1857719123363495,0.05414534732699394,0.03978513926267624,0.14364305138587952,0.7817128300666809,0.12235429883003235,0.2973308861255646,0.12742996215820312,0.1222417876124382,0.08052527159452438,0.3562130928039551,0.2234310656785965,222.9741668701172,0.5174762606620789,0.21902036666870117,364.2541809082031,174.64564514160156,334.7867126464844,0.20248806476593018,0.056327976286411285,162.55735778808594,0.3678424060344696,0.0791436955332756,53823,57128,6,5,12,12,18,23,27,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.5495008327345609,0.862365315546434,0.46108508110046387,0.0698949545621872,0.0794692412018776,0.34660661220550537,0.14301253855228424,0.1292250156402588,0.16043482720851898,0.15719306468963623,0.05414534732699394,0.03978513926267624,0.23309624195098877,0.1064733937382698,0.228158637881279,0.1471564918756485,0.19764164090156555,0.1222417876124382,0.08052527159452438,0.28775718808174133,0.2234310656785965,222.9741668701172,0.7487935423851013,0.21902036666870117,364.2541809082031,174.64564514160156,334.7867126464844,0.2636270523071289,0.056327976286411285,162.55735778808594,0.5330085158348083,0.0791436955332756,53823,43959,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003,0.6702918177708921,0.9049429657794676,0.7738365530967712,0.10556018352508545,0.14383135735988617,0.46402326226234436,0.34273889660835266,0.1579524278640747,0.16561056673526764,0.2641892731189728,0.09877236187458038,0.16808375716209412,0.24924041330814362,1.3940011262893677,0.20169243216514587,0.46414369344711304,0.17019933462142944,0.2138698548078537,0.19715380668640137,0.5145778059959412,1.2332926988601685,217.96661376953125,0.9402880668640137,0.9838376641273499,369.9520568847656,218.5435028076172,1381.3709716796875,0.16416552662849426,0.20753996074199677,323.3822326660156,0.22351579368114471,0.20567484200000763,43809,104138,6,6,11,12,17,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v230_doygap_s010_rel003
