checkpoint_loaded,dataset,dynamics_delta_cosine_mean,dynamics_delta_cosine_std,feature_dim,feature_mode,min_source_class_count,num_classes,sequence_length_source,sequence_length_target,source,source_compactness,source_delta_activity,source_late_early_radius_ratio,source_radius_phase_cv,source_reliability,source_samples,source_separability,suggested_strength_factor,suggested_view,target,target_assignment_entropy,target_delta_activity,target_margin,target_margin_ratio,target_nearest_distance,target_samples,task,temporal_mismatch_burstiness,temporal_mismatch_cv,temporal_mismatch_mean,temporal_mismatch_std,temporal_mismatch_top20_ratio,uniform_k3_adjusted_compression,uniform_k3_compression,uniform_k5_adjusted_compression,uniform_k5_compression,uniform_k8_adjusted_compression,uniform_k8_compression,view_dynamics_score,view_global_score,view_segmented_score
False,HAR,0.10038208961486816,0.44632619619369507,9,raw_input,29,6,128,128,12,0.24740378584454556,0.023053770884871483,0.9797671437263489,0.044736046344041824,2.3788216633607338,202,0.588531864186128,0.875,global,16,0.7951832201314304,0.012730035930871964,0.05839471518993378,0.10651922225952148,0.4361256957054138,231,12->16,1.7978363037109375,0.2652301463268959,0.1097891703248024,0.029119662940502167,0.2896215617656708,0.31244927831083563,0.5411780248225957,0.31694562368364404,0.7087119597276954,0.27232304150217623,0.7702458772781378,0.13311390734626088,0.1912231126324334,0.07668221935454046
False,HAR,-0.044173553586006165,0.43230175971984863,9,raw_input,29,6,128,128,2,0.18142522148003704,0.023672835901379585,0.9786907434463501,0.04301253706216812,3.9168656685045686,190,0.7106221382816632,0.875,global,11,0.8343383317426415,0.014377739280462265,0.17890289425849915,0.2628612816333771,0.3256526291370392,199,2->11,1.1380120515823364,0.057962064370526895,0.22341227531433105,0.012949494644999504,0.2191588580608368,0.04063377253272464,0.07037975852987577,0.022666159223618483,0.05068307281284479,0.0656562789416532,0.185704000268474,0.4505566244781335,0.8911077834492868,0.0213687081540621
False,HAR,-0.08451740443706512,0.4811134338378906,9,raw_input,31,6,128,128,6,0.18405057041928535,0.031758956611156464,0.9722109436988831,0.04695887863636017,3.5240522947124178,205,0.6486073590815067,0.875,global,23,0.8695345574055849,0.03091103956103325,0.12549199163913727,0.20695962011814117,0.40207234025001526,234,6->23,1.9372589588165283,0.355137571375384,0.0795203149318695,0.028241006657481194,0.3119438588619232,0.13981506086844303,0.24216678908747846,0.13130979919235725,0.2936176371059578,0.11353715560184868,0.32113157057079766,0.2939411402718734,0.4738674649243171,0.0843213236178204
False,HAR,-0.04521708935499191,0.48930487036705017,9,raw_input,27,6,128,128,7,0.2197133523901713,0.022731812670826912,0.967059850692749,0.032641321420669556,3.0992414486738045,194,0.6809478277961413,0.875,global,13,0.9462879807754001,0.022971369326114655,0.17080534994602203,0.26977163553237915,0.3055019974708557,206,7->13,1.5650864839553833,0.20119649363331035,0.07521481066942215,0.01513315737247467,0.2629960775375366,0.06678061212513238,0.11566741316127949,0.06856044836560367,0.15330582311335417,0.08513008149123784,0.24078423162167073,0.32079441676802156,0.5594201479997747,0.04607080583782101
False,HAR,-0.048404574394226074,0.43605807423591614,9,raw_input,26,6,128,128,9,0.2692753351936683,0.022223448380827904,0.9880844354629517,0.03181178495287895,2.3604017780070743,181,0.6356003403663635,0.875,global,18,0.7575095318189589,0.013188234530389309,0.09541117399930954,0.1537827104330063,0.38298240303993225,229,9->18,1.6329182386398315,0.21706740299385893,0.08594688773155212,0.01865648478269577,0.271248996257782,0.027133497621992495,0.04699659646834031,0.008364248056039488,0.018703027233974767,0.07078294047558498,0.20020438881043956,0.17141236175358834,0.2960091650863691,0.003013329982467897
False,HHAR_SA,-0.0340028740465641,0.5926249623298645,3,raw_input,137,6,128,128,0,1.0228535862329104,0.004907780326902866,0.9989297986030579,0.007540981285274029,0.516766347002824,960,0.5285768280426661,0.875,global,6,0.6923213830135101,0.004627818241715431,0.045589666813611984,0.07808482646942139,0.8665172457695007,1051,0->6,1.6843936443328857,0.28102856210111726,0.026052284985780716,0.007321717217564583,0.28362366557121277,0.03032066653381943,0.052516934955928574,0.060614475428529505,0.13553808747868268,0.05720200335766843,0.16179169788665204,0.018365626927015044,0.029682543049612407,0.0023048160541851424
False,HHAR_SA,0.07019034028053284,0.5396727919578552,3,raw_input,159,6,128,128,1,0.2876853212498956,0.004586762748658657,1.0022854804992676,0.00781076168641448,4.714021983886557,1125,1.356159642835458,0.875,global,6,0.9830327089572207,0.00442331749945879,0.24312196671962738,0.22706834971904755,0.6117290258407593,1051,1->6,2.275024175643921,0.4010041001129558,0.020455170422792435,0.008203008212149143,0.3157949447631836,0.10324753707225648,0.17882997996549943,0.15794162176296278,0.353168202738545,0.1457402693550991,0.4122157310117782,0.4392948187781763,0.5859838459306668,0.1296646652439498
False,HHAR_SA,0.08335158228874207,0.504397451877594,3,raw_input,143,6,128,128,2,1.0838997240017456,0.004649514332413673,1.0012582540512085,0.0072418092750012875,0.5154778945100655,996,0.5587268630663554,0.875,global,7,0.845554253877777,0.004957098048180342,0.0234295092523098,0.03173108026385307,0.8033077120780945,1005,2->7,1.70676589012146,0.3056311331018221,0.020587850362062454,0.006292593665421009,0.2943761646747589,0.01754404826988236,0.030387182973877103,0.05896754262524059,0.13185543377615438,0.09633784623508934,0.27248457743095433,0.008013400529162815,0.011330704844257224,0.0008723493739276079
False,HHAR_SA,-0.04400687292218208,0.5568088889122009,3,raw_input,139,6,128,128,3,0.33318252795782244,0.00743097485974431,0.9980494976043701,0.007373960223048925,3.264145093885911,958,1.0875593781471253,0.875,global,8,0.9314129035676656,0.004834278486669064,0.31012076139450073,0.3465932011604309,0.4141101539134979,1076,3->8,2.312955379486084,0.4014003178994568,0.02043842151761055,0.008204390294849873,0.3272881507873535,0.009449008518837978,0.01636616283577852,0.009064560617056686,0.020268973725906192,0.055614164692850736,0.1573006119373609,0.4426690548706809,0.6608336925090442,0.008394622027118095
False,HHAR_SA,-0.015526482835412025,0.5551738142967224,3,raw_input,144,6,128,128,4,0.2522887999363463,0.005791948176920414,0.9955909848213196,0.009285418316721916,4.160453574148911,1053,1.0496399998664856,0.875,global,5,0.7062010588547919,0.0041763316839933395,0.16756676137447357,0.22490128874778748,0.5643100142478943,1084,4->5,2.0076541900634766,0.3551171964405952,0.02155311033129692,0.007654235232621431,0.31070566177368164,0.05550045073756105,0.09612960052042929,0.028833634912085442,0.06447396770183422,0.06463439279297543,0.1828136697671514,0.4404086970837336,0.6602447977787131,0.025797714945940197
False,remote,0.0013630494941025972,0.8106908202171326,10,raw_input,21,10,58,52,austria/33UVP/2017,0.011547326286944326,0.036531876772642136,0.9764899015426636,0.5542880296707153,0.6926103617654048,2048,0.007998490447385443,0.875,global,denmark/32VNH/2017,0.7609055043611794,0.046868301928043365,0.002033685799688101,0.15457172691822052,0.01738021895289421,2048,AT1->DK1,2.725468158721924,0.5882315532960996,0.05297546088695526,0.031162425875663757,0.3663404583930969,0.034981402086766575,0.06058956573427565,0.03951590186315937,0.08836024275823495,0.062313190414719,0.17624831799846552,0.05301739618540995,0.06667192716028242,0.004184356963763197
False,remote,-0.18583393096923828,0.766261100769043,10,raw_input,16,10,58,62,austria/33UVP/2017,0.011929041358342829,0.051323819905519485,0.9703025221824646,0.5528093576431274,0.6108640083154491,2048,0.0072876328835263845,0.875,global,france/30TXT/2017,0.6930991439543865,0.0377078615128994,0.0014126671012490988,0.11123698949813843,0.025679223239421844,2048,AT1->FR1,2.7396812438964844,0.637983768343356,0.06006387993693352,0.03832041844725609,0.41852959990501404,0.02427177433547657,0.04203994633889174,0.07139940377701609,0.15965392039836324,0.10589795635759049,0.2995246522169972,0.026087599474654475,0.039123844227229046,0.004575575227990867
False,remote,0.4160846769809723,0.7663289904594421,10,raw_input,18,10,58,39,austria/33UVP/2017,0.011832837163296972,0.05272383987903595,0.9596347808837891,0.548392653465271,0.654714599085563,2048,0.0077477859540118115,0.875,dynamics,france/31TCJ/2017,0.28796480579420297,0.04346905276179314,0.000974940019659698,0.04454946517944336,0.024968422949314117,2048,AT1->FR2,3.0586559772491455,0.6757757505027178,0.05306895449757576,0.03586338832974434,0.4317185580730438,0.031233539782572463,0.05409807780363929,0.05698345795992942,0.12741888559140369,0.12386322800335557,0.3503381138433128,0.011109835081097039,0.009363376415668688,0.0008941228311786172
