group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
overall,all,raw_source_phase_margin_p1,0.6837788097376643,0.6837788097376643,12,12
overall,all,raw_source_phase_separability_p1,0.6611929236015955,0.6611929236015955,12,12
overall,all,phase_separability_gap_p1,0.6493452425571031,0.6493452425571031,12,12
overall,all,source_phase_separability_p1,0.6263161957111383,0.6263161957111383,12,12
overall,all,source_phase_compactness_p3,0.5976755815899829,0.5976755815899829,12,12
overall,all,source_phase_compactness_p4,0.5848653346810067,0.5848653346810067,12,12
overall,all,source_phase_margin_p3,0.5813747008954434,0.5813747008954434,12,12
overall,all,raw_source_phase_boundary_2,0.5672580084289535,0.5672580084289535,12,12
overall,all,phase_compactness_gap_p4,0.5446668263538526,0.5446668263538526,12,12
overall,all,source_phase_margin_p1,0.5436757750722662,0.5436757750722662,12,12
overall,all,source_phase_compactness_p1,0.5372106851488394,0.5372106851488394,12,12
overall,all,target_phase_compactness_p4,0.5181943763622656,0.5181943763622656,12,12
overall,all,raw_source_phase_boundary_1,0.511878064332402,0.511878064332402,12,12
overall,all,target_phase_compactness_p2,0.5109508938529618,0.5109508938529618,12,12
overall,all,raw_source_phase_margin_p5,0.5022852512205415,0.5022852512205415,12,12
overall,all,raw_source_phase_separability_p5,0.49985871183062225,0.49985871183062225,12,12
overall,all,target_phase_compactness_p1,0.4963436703792958,0.4963436703792958,12,12
overall,all,raw_phase_separability_gap_p1,0.4954301094854603,0.4954301094854603,12,12
overall,all,source_phase_separability_p3,0.49274405119488446,0.49274405119488446,12,12
overall,all,source_phase_margin_p4,0.4767087323933961,0.4767087323933961,12,12
overall,all,phase_compactness_gap_p2,-0.4703949848330543,0.4703949848330543,12,12
overall,all,raw_target_phase_compactness_p3,-0.4689000694393735,0.4689000694393735,12,12
overall,all,source_phase_boundary_3,-0.46809383606371613,0.46809383606371613,12,12
overall,all,target_phase_compactness_p3,0.4595583358942714,0.4595583358942714,12,12
overall,all,source_phase_compactness_p2,0.45166091915215867,0.45166091915215867,12,12
overall,all,raw_source_phase_margin_p2,0.45156350488712627,0.45156350488712627,12,12
overall,all,source_phase_margin_p2,0.4285320836354223,0.4285320836354223,12,12
