group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
target,AT1,raw_phase_separability_gap_p1,0.9998490213721021,0.9998490213721021,3,3
target,AT1,phase_compactness_gap_p1,-0.9990390945385581,0.9990390945385581,3,3
target,AT1,target_phase_separability_p5,0.9980175890970054,0.9980175890970054,3,3
target,AT1,raw_source_phase_margin_p5,0.9979929494156085,0.9979929494156085,3,3
target,AT1,source_phase_compactness_p5,0.9965968027979685,0.9965968027979685,3,3
target,AT1,phase_compactness_gap_p4,0.9963429173689275,0.9963429173689275,3,3
target,AT1,target_phase_compactness_p1,0.9958459967390514,0.9958459967390514,3,3
target,AT1,raw_source_phase_boundary_2,0.995508428336457,0.995508428336457,3,3
target,AT1,target_phase_separability_p1,0.9926678313687501,0.9926678313687501,3,3
target,AT1,source_phase_boundary_3,-0.9917489567541213,0.9917489567541213,3,3
target,AT1,phase_margin_gap_p4,0.9913726640652107,0.9913726640652107,3,3
target,AT1,target_phase_compactness_p3,0.9909734848245674,0.9909734848245674,3,3
target,AT1,source_phase_margin_p4,0.9891953153275281,0.9891953153275281,3,3
target,AT1,phase_margin_gap_p1,0.9879161585553747,0.9879161585553747,3,3
target,AT1,target_phase_separability_p4,0.9850410471237346,0.9850410471237346,3,3
target,AT1,source_phase_separability_p4,0.9849460490707693,0.9849460490707693,3,3
target,AT1,phase_separability_gap_p4,0.9839146351932555,0.9839146351932555,3,3
target,AT1,raw_source_phase_boundary_1,0.9836664736045593,0.9836664736045593,3,3
target,AT1,raw_source_phase_separability_p1,0.9755482547651149,0.9755482547651149,3,3
target,AT1,raw_phase_margin_gap_p4,0.9746385119824544,0.9746385119824544,3,3
target,AT1,raw_source_phase_separability_p5,0.9743142124097472,0.9743142124097472,3,3
target,AT1,source_phase_compactness_p1,0.9735652475041903,0.9735652475041903,3,3
target,AT1,source_phase_compactness_p2,0.9629375682858471,0.9629375682858471,3,3
target,AT1,source_phase_compactness_p4,0.9593810440076573,0.9593810440076573,3,3
target,AT1,target_phase_margin_p5,0.955450209900762,0.955450209900762,3,3
target,AT1,source_phase_separability_p1,0.954678386935163,0.954678386935163,3,3
target,AT1,target_phase_separability_p3,0.9519305475468341,0.9519305475468341,3,3
target,AT1,raw_source_phase_separability_p4,0.9492687605891654,0.9492687605891654,3,3
target,AT1,target_phase_compactness_p5,0.9490090686304639,0.9490090686304639,3,3
target,AT1,raw_phase_margin_gap_p1,0.9407876044018415,0.9407876044018415,3,3
target,AT1,source_phase_boundary_4,-0.9319243579182704,0.9319243579182704,3,3
target,AT1,raw_phase_separability_gap_p5,0.929982272309981,0.929982272309981,3,3
target,AT1,target_phase_compactness_p4,0.9249669239180142,0.9249669239180142,3,3
target,AT1,target_phase_compactness_p2,0.9243094228062351,0.9243094228062351,3,3
target,AT1,phase_separability_gap_p1,0.9222054834658456,0.9222054834658456,3,3
target,AT1,source_phase_boundary_2,-0.9139469375701071,0.9139469375701071,3,3
target,AT1,source_phase_separability_p2,-0.906725802909205,0.906725802909205,3,3
target,AT1,target_phase_margin_p4,0.9066546930024195,0.9066546930024195,3,3
target,AT1,target_phase_margin_p3,0.8835022195368718,0.8835022195368718,3,3
target,AT1,source_phase_margin_p1,0.8423714472208635,0.8423714472208635,3,3
target,AT1,source_phase_compactness_p3,0.8065793893327509,0.8065793893327509,3,3
target,AT1,phase_compactness_gap_p2,-0.7906762423715139,0.7906762423715139,3,3
target,AT1,raw_source_phase_margin_p1,0.7786667531784204,0.7786667531784204,3,3
target,AT1,phase_compactness_gap_p3,-0.7470217247159048,0.7470217247159048,3,3
target,AT1,phase_separability_gap_p2,-0.6973823870526068,0.6973823870526068,3,3
target,AT1,raw_phase_margin_gap_p5,0.6954833266734483,0.6954833266734483,3,3
target,AT1,raw_phase_compactness_gap_p4,-0.6814129911619781,0.6814129911619781,3,3
target,AT1,raw_phase_margin_gap_p3,-0.6429999808530089,0.6429999808530089,3,3
target,AT1,raw_source_phase_margin_p4,0.6400859634435884,0.6400859634435884,3,3
target,AT1,raw_phase_compactness_gap_p2,-0.6219476872743407,0.6219476872743407,3,3
target,AT1,raw_source_phase_compactness_p2,-0.6214199899386254,0.6214199899386254,3,3
target,AT1,phase_margin_gap_p2,-0.5722503002076215,0.5722503002076215,3,3
target,AT1,raw_phase_compactness_gap_p3,-0.5600649691971336,0.5600649691971336,3,3
target,AT1,source_phase_margin_p5,0.5350565691393185,0.5350565691393185,3,3
target,AT1,raw_target_phase_margin_p3,0.5322350452300797,0.5322350452300797,3,3
target,AT1,source_phase_boundary_1,-0.5322350452300797,0.5322350452300797,3,3
target,AT1,raw_target_phase_compactness_p1,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_compactness_p2,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_compactness_p3,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_compactness_p4,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_compactness_p5,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_margin_p1,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_margin_p2,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_margin_p4,0.5322350452300796,0.5322350452300796,3,3
target,AT1,raw_target_phase_margin_p5,0.5322350452300796,0.5322350452300796,3,3
