group_name,group_value,metric,corr_with_target_f1,abs_corr,pair_count,task_count
source,AT1,phase_margin_gap_p5,0.9995194889565289,0.9995194889565289,3,3
source,AT1,target_phase_margin_p4,-0.9986909482736748,0.9986909482736748,3,3
source,AT1,raw_phase_compactness_gap_p1,0.9950824557764077,0.9950824557764077,3,3
source,AT1,raw_target_phase_compactness_p1,-0.9950824557764077,0.9950824557764077,3,3
source,AT1,target_phase_compactness_p2,0.9933732861289276,0.9933732861289276,3,3
source,AT1,source_phase_compactness_p1,0.993177725823518,0.993177725823518,3,3
source,AT1,phase_compactness_gap_p4,0.9916998984495786,0.9916998984495786,3,3
source,AT1,phase_separability_gap_p1,0.9868464677159777,0.9868464677159777,3,3
source,AT1,phase_margin_gap_p2,0.9855992550499124,0.9855992550499124,3,3
source,AT1,target_phase_separability_p4,-0.9849101189500994,0.9849101189500994,3,3
source,AT1,raw_phase_margin_gap_p2,0.9812468823162284,0.9812468823162284,3,3
source,AT1,raw_target_phase_margin_p2,-0.9812468823162284,0.9812468823162284,3,3
source,AT1,target_phase_boundary_2,0.9778571569765802,0.9778571569765802,3,3
source,AT1,target_phase_margin_p1,-0.9769750677805177,0.9769750677805177,3,3
source,AT1,raw_phase_compactness_gap_p2,0.9761913275936598,0.9761913275936598,3,3
source,AT1,raw_target_phase_compactness_p2,-0.9761913275936598,0.9761913275936598,3,3
source,AT1,phase_margin_gap_p1,0.9737862808521149,0.9737862808521149,3,3
source,AT1,target_phase_separability_p1,-0.9731751543362254,0.9731751543362254,3,3
source,AT1,phase_separability_gap_p3,0.9717846750414868,0.9717846750414868,3,3
source,AT1,phase_compactness_gap_p2,-0.9640236764595761,0.9640236764595761,3,3
source,AT1,source_phase_compactness_p3,0.9635195540915663,0.9635195540915663,3,3
source,AT1,phase_separability_gap_p5,0.9568616905598055,0.9568616905598055,3,3
source,AT1,source_phase_margin_p3,0.9475961120018228,0.9475961120018228,3,3
source,AT1,raw_target_phase_boundary_3,0.9416535688169277,0.9416535688169277,3,3
source,AT1,phase_compactness_gap_p5,-0.938605855554223,0.938605855554223,3,3
source,AT1,target_phase_compactness_p5,0.9369916130818013,0.9369916130818013,3,3
source,AT1,source_phase_compactness_p5,0.9347408738287204,0.9347408738287204,3,3
source,AT1,phase_compactness_gap_p1,0.9226144324372368,0.9226144324372368,3,3
source,AT1,target_phase_margin_p2,-0.9218606276840556,0.9218606276840556,3,3
source,AT1,raw_target_phase_margin_p1,-0.9191117296913031,0.9191117296913031,3,3
source,AT1,raw_phase_margin_gap_p1,0.9191117296913028,0.9191117296913028,3,3
source,AT1,raw_phase_margin_gap_p5,0.9130249653010555,0.9130249653010555,3,3
source,AT1,raw_target_phase_margin_p5,-0.9130249653010555,0.9130249653010555,3,3
source,AT1,target_phase_boundary_4,0.8989648656042863,0.8989648656042863,3,3
source,AT1,phase_compactness_gap_p3,0.8968804634989033,0.8968804634989033,3,3
source,AT1,source_phase_boundary_2,0.8761921680018896,0.8761921680018896,3,3
source,AT1,raw_phase_separability_gap_p2,0.8427370578635482,0.8427370578635482,3,3
source,AT1,raw_target_phase_separability_p2,-0.8427370578635482,0.8427370578635482,3,3
source,AT1,phase_margin_gap_p3,0.8355920159139998,0.8355920159139998,3,3
source,AT1,source_phase_compactness_p4,0.7964492519753604,0.7964492519753604,3,3
source,AT1,target_phase_separability_p2,-0.7793560320727725,0.7793560320727725,3,3
source,AT1,source_phase_separability_p5,0.7770202093682107,0.7770202093682107,3,3
source,AT1,raw_phase_separability_gap_p5,0.7653374738466843,0.7653374738466843,3,3
source,AT1,raw_target_phase_separability_p5,-0.7653374738466843,0.7653374738466843,3,3
source,AT1,raw_phase_margin_gap_p4,0.751312909703195,0.751312909703195,3,3
source,AT1,raw_target_phase_margin_p4,-0.751312909703195,0.751312909703195,3,3
source,AT1,target_phase_boundary_3,0.7422124098242228,0.7422124098242228,3,3
source,AT1,target_phase_separability_p5,-0.7364264889649379,0.7364264889649379,3,3
source,AT1,target_phase_compactness_p4,-0.7353310382252778,0.7353310382252778,3,3
source,AT1,raw_phase_separability_gap_p3,0.7263202173399276,0.7263202173399276,3,3
source,AT1,raw_target_phase_separability_p3,-0.7263202173399276,0.7263202173399276,3,3
source,AT1,source_phase_separability_p3,0.7166280297890072,0.7166280297890072,3,3
source,AT1,raw_phase_margin_gap_p3,0.7148917155957372,0.7148917155957372,3,3
source,AT1,raw_target_phase_margin_p3,-0.714891715595737,0.714891715595737,3,3
source,AT1,raw_phase_separability_gap_p1,0.6871437879293212,0.6871437879293212,3,3
source,AT1,raw_target_phase_separability_p1,-0.6871437879293212,0.6871437879293212,3,3
source,AT1,raw_target_phase_compactness_p3,-0.6829066696568238,0.6829066696568238,3,3
source,AT1,raw_phase_compactness_gap_p3,0.6829066696568237,0.6829066696568237,3,3
source,AT1,raw_target_phase_boundary_1,0.6701647101294727,0.6701647101294727,3,3
source,AT1,target_phase_boundary_1,0.6701647101294727,0.6701647101294727,3,3
source,AT1,target_phase_margin_p3,-0.6404934608406613,0.6404934608406613,3,3
source,AT1,raw_target_phase_compactness_p4,-0.6371736164460869,0.6371736164460869,3,3
source,AT1,raw_phase_compactness_gap_p4,0.6371736164460868,0.6371736164460868,3,3
source,AT1,source_phase_margin_p2,0.62000158289792,0.62000158289792,3,3
source,AT1,target_phase_margin_p5,-0.6112634242598851,0.6112634242598851,3,3
source,AT1,target_phase_separability_p3,-0.6110629005855032,0.6110629005855032,3,3
source,AT1,phase_margin_gap_p4,0.5900659702938987,0.5900659702938987,3,3
source,AT1,raw_target_phase_boundary_4,0.5595160397304882,0.5595160397304882,3,3
source,AT1,phase_separability_gap_p4,0.4610928878700767,0.4610928878700767,3,3
source,AT1,target_phase_compactness_p1,-0.41225508830640734,0.41225508830640734,3,3
source,AT1,source_phase_margin_p5,0.3139257472031382,0.3139257472031382,3,3
source,AT1,source_phase_boundary_4,-0.3076924468471074,0.3076924468471074,3,3
source,AT1,source_phase_separability_p2,-0.304403227984661,0.304403227984661,3,3
