source,target,source_dataset,target_dataset,timematch_experiment,class_name,class_f1,class_precision,class_recall,class_support,class_fold_count,target_f1,pse_early_curve_distance,pse_late_curve_distance,pse_mid_curve_distance,prototype_distance,raw_source_curve_spread,domain_ndvi_curve_mse,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,target_curve_spread,target_curve_activity_range,classwise_curve_shift_mse_mean,best_shifted_curve_mse,domain_bandwise_curve_mse,global_curve_shift_mse,target_fisher_ratio,source_curve_activity_range,source_fisher_ratio,source_curve_spread,raw_curve_spread_gap,pse_trend_curve_distance,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,raw_target_fisher_ratio,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,raw_source_curve_activity_range,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,raw_target_curve_activity_range,mmd,class_relative_curve_structure_corr,relation_structure_distance,class_relative_curve_structure_mse,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,raw_fisher_ratio_gap,acf_distance,curve_spread_gap,fisher_ratio_gap,raw_target_curve_spread,curve_activity_range_gap,coral,raw_source_fisher_ratio,raw_curve_activity_range_gap,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,corn,0.98,0.98,0.98,987.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,horsebeans,0.8,0.73,0.88,131.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,meadow,0.95,1.0,0.9,2377.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,spring_barley,0.31,0.34,0.29,38.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,spring_peas,0.86,0.81,0.92,73.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,sunflowers,0.97,0.95,0.99,2766.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,winter_barley,0.92,0.9,0.94,663.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,winter_oat,0.51,0.58,0.45,33.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,winter_rapeseed,0.96,0.93,0.99,429.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,timematch_30TXT_to_31TCJ_closedset_noshift,winter_triticale,0.5,0.79,0.37,126.0,1,0.7945527984749808,0.5193429589271545,0.5611624121665955,0.6038485765457153,0.6807579398155212,0.12325584888458252,0.03603022173047066,0.7321340116587552,0.7321340116587552,5.334492206573486,3.199835777282715,0.0002772654115688056,0.00018040130089502782,0.00023987554595805705,0.00023987554595805705,2.4662702083587646,2.8031296730041504,2.6234934329986572,4.2577691078186035,0.016413740813732147,4.730293273925781,0.03394764737904725,0.03394764737904725,0.05812385301532046,0.05812385301532046,0.0795603096485138,0.6586114710027521,0.6586114710027521,0.00012095875717932358,0.00012095875717932358,0.15825997292995453,0.00013859994942322373,0.00013859994942322373,0.13678763806819916,0.10325384140014648,0.4541029022023368,0.0010100974468514323,0.002693342976272106,0.07352254065600317,0.07352254065600317,-0.05599726736545563,0.07656922936439514,-1.0767230987548828,0.15722322463989258,0.10684210807085037,-0.39670610427856445,1.5111445463844575e-05,0.023563042283058167,0.02147233486175537,1.764119224390015e-05,1.764119224390015e-05
