class_name,source_precision,source_recall,source_f1,source_support,timematch_precision,timematch_recall,timematch_f1,timematch_support,timematch_minus_source_f1
corn,0.71,0.97,0.82,1379,0.83,0.94,0.88,1379,0.06000000000000005
horsebeans,0.61,0.7,0.65,137,0.6,0.85,0.7,137,0.04999999999999993
meadow,0.76,0.89,0.82,3046,0.76,0.82,0.78,3046,-0.039999999999999925
spring_barley,0.15,0.19,0.17,63,0.18,0.35,0.24,63,0.06999999999999998
spring_oat,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0
unknown,0.92,0.74,0.82,6690,0.92,0.78,0.85,6690,0.030000000000000027
winter_barley,0.48,0.93,0.63,792,0.71,0.84,0.77,792,0.14
winter_rapeseed,0.99,0.85,0.91,522,0.96,0.94,0.95,522,0.039999999999999925
winter_rye,0.12,0.2,0.15,5,0.03,0.8,0.06,5,-0.09
winter_triticale,0.38,0.47,0.42,169,0.34,0.36,0.35,169,-0.07
winter_wheat,0.97,0.88,0.92,5187,0.95,0.96,0.95,5187,0.029999999999999916
