source,target,source_dataset,target_dataset,closed_set,source_phase_partition_mode,source_phase_count,raw_source_phase_partition_mode,raw_source_phase_count,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,source_phase_margin_p5,source_phase_margin_p2,raw_source_phase_margin_p1,source_phase_separability_p5,source_phase_compactness_p4,source_phase_compactness_p2,source_phase_separability_p2,raw_source_phase_compactness_p5,raw_source_phase_separability_p1,source_phase_compactness_p5,raw_source_phase_margin_p2,source_phase_margin_p3,raw_source_phase_compactness_p1,source_phase_compactness_p1,source_phase_separability_p4,source_phase_margin_p4,source_phase_margin_p1,raw_source_phase_separability_p5,raw_source_phase_margin_p4,raw_source_phase_separability_p2,raw_source_phase_margin_p5,raw_source_phase_separability_p3,source_phase_separability_p1,raw_source_phase_compactness_p3,raw_source_phase_margin_p3,raw_source_phase_compactness_p2,source_phase_separability_p3,source_phase_compactness_p3,raw_source_phase_compactness_p4,raw_source_phase_separability_p4,source_samples,target_samples,source_phase_boundary_1,raw_source_phase_boundary_1,source_phase_boundary_2,raw_source_phase_boundary_2,source_phase_boundary_3,raw_source_phase_boundary_3,source_phase_boundary_4,raw_source_phase_boundary_4,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7856309531217637,0.9592999256996615,0.16250772774219513,0.450712114572525,0.12133369594812393,0.1689431071281433,0.17303641140460968,0.13857367634773254,0.8850310444831848,174.82595825195312,0.23531368374824524,0.10020944476127625,0.17981918156147003,0.31055766344070435,275.77813720703125,0.20038048923015594,0.5526959300041199,0.4022906422615051,0.2594447433948517,0.14493295550346375,0.14043205976486206,0.5935841202735901,0.09561069309711456,0.045899730175733566,0.40262937545776367,134.81764221191406,0.062199804931879044,335.4552307128906,0.3181268274784088,0.11484584957361221,311.335693359375,0.26774656772613525,106028,73493,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6764789225319998,0.9565272982994502,0.16709141433238983,0.4817880392074585,0.12133369594812393,0.15814271569252014,0.1931663304567337,0.18400748074054718,1.006894588470459,174.82595825195312,0.23531368374824524,0.12499004602432251,0.17981918156147003,0.33603695034980774,275.77813720703125,0.21428926289081573,0.6381623148918152,0.4367700517177582,0.267341285943985,0.14493295550346375,0.14043205976486206,0.5935841202735901,0.09561069309711456,0.045899730175733566,0.4375428259372711,134.81764221191406,0.062199804931879044,335.4552307128906,0.3620837926864624,0.1463615745306015,311.335693359375,0.26774656772613525,106028,48123,6,16,9,19,13,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,structure,5,structure,5,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7045484099640862,0.9604689203925845,0.16261900961399078,0.46074020862579346,0.12133369594812393,0.15804623067378998,0.2198125123977661,0.19586464762687683,0.8962644934654236,174.82595825195312,0.23531368374824524,0.12831760942935944,0.17981918156147003,0.35577550530433655,275.77813720703125,0.23272404074668884,0.5450788736343384,0.39739376306533813,0.2549400329589844,0.14493295550346375,0.14043205976486206,0.5935841202735901,0.09561069309711456,0.045899730175733566,0.4045049846172333,134.81764221191406,0.062199804931879044,335.4552307128906,0.3859182298183441,0.15313348174095154,311.335693359375,0.26774656772613525,106028,42731,6,16,9,19,14,23,18,26,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7559425081235643,0.9682842555824868,0.17384976148605347,0.4568359851837158,0.10428790003061295,0.17990706861019135,0.151164710521698,0.13891945779323578,1.5976228713989258,149.06671142578125,0.12085629254579544,0.13663464784622192,0.19164124131202698,0.46416544914245605,501.195556640625,0.12643969058990479,1.0183911323547363,0.4477955102920532,0.32712364196777344,0.0682501420378685,0.13181829452514648,0.839356541633606,0.05872982740402222,1.3665719032287598,0.7509114146232605,680.4117431640625,0.29266807436943054,483.4267578125,0.9173815846443176,0.10321211814880371,619.5103149414062,0.1994227170944214,74156,106107,9,3,12,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6928225173561364,0.9125914516750097,0.17952479422092438,0.43595090508461,0.10428790003061295,0.19476532936096191,0.14662495255470276,0.14283587038516998,1.5262832641601562,149.06671142578125,0.12085629254579544,0.13145099580287933,0.19164124131202698,0.46392878890037537,501.195556640625,0.1263226866722107,0.934423565864563,0.45809251070022583,0.327250212430954,0.0682501420378685,0.13181829452514648,0.839356541633606,0.05872982740402222,1.3665719032287598,0.7118465900421143,680.4117431640625,0.29266807436943054,483.4267578125,0.9116542935371399,0.09612927585840225,619.5103149414062,0.1994227170944214,74156,48123,9,3,12,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6804602630309871,0.9589022576720292,0.1702321469783783,0.38272523880004883,0.10428790003061295,0.17522390186786652,0.14862535893917084,0.13774673640727997,1.0427860021591187,149.06671142578125,0.12085629254579544,0.12736046314239502,0.19164124131202698,0.45935773849487305,501.195556640625,0.11828909069299698,0.9298178553581238,0.44618961215019226,0.23655331134796143,0.0682501420378685,0.13181829452514648,0.839356541633606,0.05872982740402222,1.3665719032287598,0.4116603434085846,680.4117431640625,0.29266807436943054,483.4267578125,0.8905135989189148,0.09494403004646301,619.5103149414062,0.1994227170944214,74156,42731,3,3,12,13,15,17,19,27,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.5965442978412664,0.9548479846653533,0.1447950154542923,0.12217483669519424,0.0698949545621872,0.11352363228797913,0.07068123668432236,0.04482405260205269,0.0773809477686882,222.9741668701172,0.0794692412018776,0.07248701900243759,0.1222417876124382,0.2633148729801178,174.64564514160156,0.10804808884859085,0.34825238585472107,0.28378695249557495,0.21781723201274872,0.03978513926267624,0.08052527159452438,0.2234310656785965,0.05414534732699394,0.056327976286411285,0.4004333019256592,162.55735778808594,0.0791436955332756,364.2541809082031,0.7063067555427551,0.11497431993484497,334.7867126464844,0.21902036666870117,53823,104447,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.5128193691351199,0.9088804140561155,0.13919810950756073,0.11694144457578659,0.0698949545621872,0.11034708470106125,0.06100042164325714,0.037056583911180496,0.07014115899801254,222.9741668701172,0.0794692412018776,0.06065702810883522,0.1222417876124382,0.2622091472148895,174.64564514160156,0.09522777795791626,0.34880539774894714,0.2883245050907135,0.20926602184772491,0.03978513926267624,0.08052527159452438,0.2234310656785965,0.05414534732699394,0.056327976286411285,0.3809872567653656,162.55735778808594,0.0791436955332756,364.2541809082031,0.662560224533081,0.11062946915626526,334.7867126464844,0.21902036666870117,53823,57128,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,structure,5,structure,5,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6841103667162914,0.9454848640328374,0.14581431448459625,0.1241256520152092,0.0698949545621872,0.11621252447366714,0.07575206458568573,0.0489579401910305,0.08002284914255142,222.9741668701172,0.0794692412018776,0.07660572975873947,0.1222417876124382,0.26030582189559937,174.64564514160156,0.11810087412595749,0.33274173736572266,0.28162604570388794,0.21330232918262482,0.03978513926267624,0.08052527159452438,0.2234310656785965,0.05414534732699394,0.056327976286411285,0.3564265966415405,162.55735778808594,0.0791436955332756,364.2541809082031,0.6744906306266785,0.12236906588077545,334.7867126464844,0.21902036666870117,53823,43959,3,5,6,12,12,23,18,26,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,structure,5,structure,5,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6656738896639324,0.899426980131741,0.16010120511054993,0.4114944338798523,0.10556018352508545,0.17332470417022705,0.12744158506393433,0.14541593194007874,1.2270281314849854,217.96661376953125,0.14383135735988617,0.07079420983791351,0.2138698548078537,0.3209621012210846,218.5435028076172,0.08141408860683441,1.0338400602340698,0.5594890117645264,0.15666444599628448,0.16808375716209412,0.19715380668640137,1.2332926988601685,0.09877236187458038,0.20753996074199677,0.23317988216876984,323.3822326660156,0.20567484200000763,369.9520568847656,0.36781108379364014,0.06567759811878204,1381.3709716796875,0.9838376641273499,43809,104138,6,6,11,12,14,17,20,20,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
