source,target,source_dataset,target_dataset,closed_set,num_classes,fold_count,timematch_experiment,target_f1,target_accuracy,pse_mid_curve_distance,prototype_distance,pse_early_curve_distance,raw_source_curve_spread,source_curve_activity_range,acf_distance,pse_late_curve_distance,source_fisher_ratio,mmd,curve_activity_range_gap,target_fisher_ratio,raw_target_curve_activity_range,pse_trend_curve_distance,target_curve_spread,raw_curve_activity_range_gap,raw_source_fisher_ratio,coral,raw_target_curve_spread,curve_spread_gap,best_shifted_curve_mse,raw_source_ndvi_q90_range_mean,source_ndvi_q90_range_mean,classwise_curve_shift_mse_mean,raw_source_ndvi_q90_range_std,source_ndvi_q90_range_std,domain_bandwise_curve_mse,global_curve_shift_mse,raw_target_class_curve_variance_mean,target_class_curve_variance_mean,class_relative_curve_structure_corr,raw_source_curve_activity_range,target_curve_activity_range,raw_target_fisher_ratio,domain_ndvi_curve_mse,raw_target_ndvi_q90_range_mean,target_ndvi_q90_range_mean,class_relative_curve_structure_mse,raw_curve_spread_gap,class_curve_variance_mean_gap,raw_class_curve_variance_mean_gap,relation_structure_distance,raw_fisher_ratio_gap,raw_target_ndvi_q90_range_std,target_ndvi_q90_range_std,fisher_ratio_gap,source_curve_spread,ndvi_q90_range_mean_gap,raw_ndvi_q90_range_mean_gap,raw_source_class_curve_variance_mean,source_class_curve_variance_mean,shared_classes_for_proto,shared_classes_for_relation,shared_classes_for_curves,shared_classes_for_curve_structure,source_samples,target_samples,checkpoint_dir
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,True,11,1,timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7856309531217637,0.9592999256996615,1.4782779216766357,1.7047393321990967,1.1586703062057495,0.12325584888458252,6.421336650848389,0.07656922936439514,1.4301403760910034,3.026782751083374,0.12730944156646729,0.09959173202514648,2.6177990436553955,0.13678763806819916,12.24780559539795,10.171955108642578,0.02147233486175537,0.023563042283058167,0.0006943410262465477,0.10684210807085037,-1.793623924255371,0.00018040130089502782,0.7321340116587552,0.7321340116587552,0.0002772654115688056,0.05812385301532046,0.05812385301532046,0.00023987554595805705,0.00023987554595805705,0.00012095875717932358,0.00012095875717932358,0.4541029022023368,0.15825997292995453,6.321744918823242,0.0795603096485138,0.03603022173047066,0.6586114710027521,0.6586114710027521,0.002693342976272106,0.016413740813732147,1.764119224390015e-05,1.764119224390015e-05,0.0014912188053131104,-0.05599726736545563,0.03394764737904725,0.03394764737904725,0.4089837074279785,8.378331184387207,0.07352254065600317,0.07352254065600317,0.00013859994942322373,0.00013859994942322373,11,11,11,11,106028,73493,/data/user/timematch/outputs/timematch_30TXT_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,True,11,1,timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6764789225319998,0.9565272982994502,1.1198315620422363,2.2747926712036133,1.259480357170105,0.12325584888458252,6.02407693862915,0.04414838179945946,1.1831345558166504,2.593329906463623,0.09154880046844482,-0.8069539070129395,2.9308290481567383,0.17221680283546448,12.614657402038574,8.92713451385498,-0.013956829905509949,0.023563042283058167,0.0003943362389691174,0.15622647106647491,-0.9529433250427246,0.0001637448585825041,0.7321340116587552,0.7321340116587552,0.00023077808145899326,0.05812385301532046,0.05812385301532046,0.00016374487313441932,0.0001637448585825041,0.0001680984569247812,0.0001680984569247812,-0.17035706514454035,0.15825997292995453,6.83103084564209,0.021165624260902405,0.03144913911819458,0.6677387654781342,0.6677387654781342,0.017287269234657288,-0.032970622181892395,-2.949850750155747e-05,-2.949850750155747e-05,0.002775917761027813,0.0023974180221557617,0.06577309494737843,0.06577309494737843,-0.33749914169311523,7.974191188812256,0.06439524618062109,0.06439524618062109,0.00013859994942322373,0.00013859994942322373,10,10,10,10,106028,48123,/data/user/timematch/outputs/timematch_30TXT_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,True,11,1,timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7045484099640862,0.9604689203925845,1.2859551906585693,1.6977609395980835,1.6268787384033203,0.12325584888458252,5.7299723625183105,0.06652563065290451,1.0864088535308838,2.726437568664551,0.03677821159362793,-1.7868719100952148,5.2405242919921875,0.19250966608524323,13.00678825378418,10.005852699279785,-0.034249693155288696,0.023563042283058167,0.0003178677288815379,0.1370030790567398,-2.5820212364196777,0.0002983615850098431,0.7321340116587552,0.7321340116587552,0.0006201796932145953,0.05812385301532046,0.05812385301532046,0.000490067875944078,0.000490067875944078,0.00028122475487180054,0.00028122475487180054,0.2799088927332446,0.15825997292995453,7.516844272613525,0.08902993053197861,0.06800349056720734,0.7394913256168365,0.7394913256168365,0.0030924296006560326,-0.013747230172157288,-0.0001426248054485768,-0.0001426248054485768,0.0018956292187795043,-0.06546688824892044,0.03103057536689931,0.03103057536689931,-2.5140867233276367,7.423831462860107,-0.007357313958081257,-0.007357313958081257,0.00013859994942322373,0.00013859994942322373,10,10,10,10,106028,42731,/data/user/timematch/outputs/timematch_30TXT_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,True,12,1,timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.7559425081235643,0.9682842555824868,1.7217087745666504,2.1927945613861084,1.1684592962265015,0.10544401407241821,7.9450907707214355,0.07661489397287369,1.7722386121749878,2.426964521408081,0.07239973545074463,-0.2808241844177246,2.46988582611084,0.16075800359249115,14.734719276428223,10.248579025268555,-0.022155553102493286,0.07966586202383041,0.0013407175429165363,0.1236150786280632,1.2253599166870117,0.00018058385467156768,0.6546598424514135,0.6546598424514135,0.0002774327585939318,0.03504532829880232,0.03504532829880232,0.00024001396377570927,0.0002400139783276245,0.00014170676877256483,0.00014170676877256483,0.42720616143867274,0.13860245048999786,8.22591495513916,0.023602159693837166,0.03600727394223213,0.7325855493545532,0.7325855493545532,0.002766799181699753,-0.01817106455564499,-1.8880426068790257e-05,-1.8880426068790257e-05,0.0004946897970512509,0.05606370232999325,0.055669499558546616,0.055669499558546616,-0.04292130470275879,11.473938941955566,-0.07792570690313971,-0.07792570690313971,0.00012282634270377457,0.00012282634270377457,12,12,12,12,74156,106107,/data/user/timematch/outputs/timematch_31TCJ_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,True,12,1,timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6928225173561364,0.9125914516750097,2.453644275665283,3.141292095184326,1.977551817893982,0.10544401407241821,8.090012550354004,0.06674675643444061,1.863011121749878,1.9642201662063599,0.07256603240966797,-1.3549213409423828,1.721073031425476,0.17221680283546448,15.936930656433105,11.670092582702637,-0.033614352345466614,0.07966586202383041,0.00079153454862535,0.15622647106647491,-0.3488016128540039,0.00015764583076816052,0.6546598424514135,0.6546598424514135,0.00029868114506825805,0.03504532829880232,0.03504532829880232,0.00022875357535667717,0.0002287535899085924,0.0001680984569247812,0.0001680984569247812,-0.00478981038986775,0.13860245048999786,9.444933891296387,0.021165624260902405,0.023479918017983437,0.6677387654781342,0.6677387654781342,0.016219884157180786,-0.0507824569940567,-4.527211422100663e-05,-4.527211422100663e-05,0.0030190979596227407,0.05850023776292801,0.06577309494737843,0.06577309494737843,0.2431471347808838,11.321290969848633,-0.013078923026720646,-0.013078923026720646,0.00012282634270377457,0.00012282634270377457,10,10,10,10,74156,48123,/data/user/timematch/outputs/timematch_31TCJ_to_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,True,12,1,timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6804602630309871,0.9589022576720292,1.4533628225326538,2.236034870147705,2.104095458984375,0.10544401407241821,7.861032485961914,0.06963697820901871,1.649560570716858,2.1555511951446533,0.07308900356292725,-1.69384765625,3.1190521717071533,0.19250966608524323,15.584195137023926,12.55201530456543,-0.05390721559524536,0.07966586202383041,0.001225649961270392,0.1370030790567398,-1.6195249557495117,0.0002791621955111623,0.6546598424514135,0.6546598424514135,0.0004376363067422062,0.03504532829880232,0.03504532829880232,0.00038409241824410856,0.00038409241824410856,0.00028122475487180054,0.00028122475487180054,0.32370058323435297,0.13860245048999786,9.554880142211914,0.08902993053197861,0.034293003380298615,0.7394913256168365,0.7394913256168365,0.002500478643923998,-0.031559064984321594,-0.00015839841216802597,-0.00015839841216802597,0.0013329675421118736,-0.009364068508148193,0.03103057536689931,0.03103057536689931,-0.9635009765625,10.932490348815918,-0.084831483165423,-0.084831483165423,0.00012282634270377457,0.00012282634270377457,10,10,10,10,74156,42731,/data/user/timematch/outputs/timematch_31TCJ_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,True,12,1,timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.5965442978412664,0.9548479846653533,1.8331646919250488,3.459747076034546,1.5840522050857544,0.08906648308038712,8.348986625671387,0.044380709528923035,1.3824363946914673,1.846599817276001,0.080963134765625,0.510469913482666,2.224536418914795,0.15606576204299927,15.936997413635254,9.782251358032227,0.0036220550537109375,0.019903885200619698,0.000926222070120275,0.11917386204004288,-0.7008724212646484,0.00016396143473684788,0.6766762435436249,0.6766762435436249,0.00021391436166595668,0.042695548552879735,0.042695548552879735,0.00016396140563301742,0.00016396143473684788,0.0001354399573756382,0.0001354399573756382,0.014220754996287398,0.1596878170967102,7.838516712188721,0.019460685551166534,0.03194848820567131,0.732994814713796,0.732994814713796,0.002824433147907257,-0.03010737895965576,-7.269321940839291e-06,-7.269321940839291e-06,0.0011580741265788674,0.00044319964945316315,0.04851270566638856,0.04851270566638856,-0.37793660163879395,9.081378936767578,-0.05631857117017114,-0.05631857117017114,0.0001281706354347989,0.0001281706354347989,12,12,12,12,53823,104447,/data/user/timematch/outputs/timematch_32VNH_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,True,12,1,timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.5128193691351199,0.9088804140561155,2.693617582321167,3.3674614429473877,2.0031793117523193,0.08906648308038712,8.7598295211792,0.0669599324464798,2.1124985218048096,1.7857372760772705,0.06923115253448486,0.4124879837036133,2.007925271987915,0.13658559322357178,14.765499114990234,11.624573707580566,0.023102223873138428,0.019903885200619698,0.0008238661102950573,0.09806528687477112,-2.2564620971679688,0.00016665605653543025,0.6766762435436249,0.6766762435436249,0.00026471877936273813,0.042695548552879735,0.042695548552879735,0.0002421480166958645,0.0002421480166958645,0.00012110874376958236,0.00012110874376958236,0.38942010963565205,0.1596878170967102,8.347341537475586,0.05039803311228752,0.03004121407866478,0.6550246427456538,0.6550246427456538,0.001077831257134676,-0.008998803794384003,7.061891665216535e-06,7.061891665216535e-06,0.0013207922456786036,-0.030494147911667824,0.03706946929733331,0.03706946929733331,-0.22218799591064453,9.368111610412598,0.021651600797971127,0.021651600797971127,0.0001281706354347989,0.0001281706354347989,12,12,12,12,53823,57128,/data/user/timematch/outputs/timematch_32VNH_to_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,True,12,1,timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6841103667162914,0.9454848640328374,1.6945689916610718,3.2866899967193604,2.5176708698272705,0.08906648308038712,8.145451545715332,0.05812571570277214,1.218799114227295,2.01977801322937,0.04723489284515381,-2.7093544006347656,4.125148296356201,0.19201283156871796,16.660982131958008,11.915074348449707,-0.03232501447200775,0.019903885200619698,0.0017345953965559602,0.12211111932992935,-3.2854232788085938,0.00032637317781336606,0.6766762435436249,0.6766762435436249,0.0005060448893345892,0.042695548552879735,0.042695548552879735,0.0004431382694747299,0.0004431382694747299,0.0002828868746291846,0.0002828868746291846,0.33913254206789356,0.1596878170967102,10.854805946350098,0.08871390670537949,0.03909849375486374,0.7333482354879379,0.7333482354879379,0.002201913855969906,-0.033044636249542236,-0.0001547162391943857,-0.0001547162391943857,0.0007526898989453912,-0.06881002150475979,0.031152452046977842,0.031152452046977842,-2.105370283126831,8.629651069641113,-0.05667199194431305,-0.05667199194431305,0.0001281706354347989,0.0001281706354347989,12,12,12,12,53823,43959,/data/user/timematch/outputs/timematch_32VNH_to_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,True,10,1,timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003,0.6656738896639324,0.899426980131741,1.820563554763794,2.4798245429992676,2.0369150638580322,0.13051709532737732,8.891008377075195,0.06623738259077072,1.6894474029541016,3.6609203815460205,0.058556437492370605,0.9373865127563477,2.0652947425842285,0.15858978033065796,18.05860137939453,9.42712116241455,0.03419598937034607,0.08880192041397095,0.001335492474026978,0.1179838627576828,1.8087329864501953,0.0002980048593599349,0.7373847126960754,0.7373847126960754,0.0006261737435124815,0.032480193790871255,0.032480193790871255,0.0004890960990451276,0.0004890961572527885,0.00013725479948334396,0.00013725479948334396,0.20204188691338504,0.19278576970100403,7.953621864318848,0.019197210669517517,0.06811375170946121,0.7427759528160095,0.7427759528160095,0.0024675431195646524,0.012533232569694519,0.0001475887547712773,0.0001475887547712773,0.0007646424928680062,0.06960470974445343,0.042095343206778935,0.042095343206778935,1.595625638961792,11.235854148864746,-0.005391240119934082,-0.005391240119934082,0.00028484355425462127,0.00028484355425462127,10,10,10,10,43809,104138,/data/user/timematch/outputs/timematch_33UVP_to_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003
