Task,Timematch
FR1 -> FR2,0.6784
FR1 -> DK1,NA
FR1 -> AT1,0.6436
FR2 -> FR1,NA
FR2 -> DK1,NA
FR2 -> AT1,0.6045
DK1 -> FR1,0.4727
DK1 -> FR2,0.4233
DK1 -> AT1,0.4335
AT1 -> FR1,0.6641
AT1 -> FR2,NA
AT1 -> DK1,0.5512
