metric,dimension,transfer_overall_corr,phase_overall_corr,per_class_overall_corr,source_spread,class_spread,combined_score
source_ndvi_q90_range_mean,global-feature-structure,0.6196229605231066,0.0,0.19918933363061384,0.0,0.7361291918101117,0.20139592643052498
source_ndvi_q90_range_std,global-feature-structure,0.36890498644252584,0.0,0.10547981331199789,0.0,0.8688918476409251,0.1099841363977928
source_phase_compactness_p4,phase-intra-compactness,0.0,0.5063597340321689,0.0,0.3834683152191116,0.0,0.10980224016593523
source_phase_compactness_p2,phase-intra-compactness,0.0,0.6871946669850406,0.0,1.0358661501164228,0.0,0.10126323878596971
source_phase_compactness_p1,phase-intra-compactness,0.0,0.6258651339545745,0.0,1.2927752350619137,0.0,0.08189182145510314
source_curve_activity_range,global-feature-structure,-0.5061468091726306,0.0,-0.12138922519936571,0.7960733070880598,0.9042201439017155,0.08109403560376328
source_class_curve_variance_mean,global-feature-structure,0.2707735078098849,0.0,0.10444934204356676,0.0,1.0464342767808577,0.07636532679636635
source_phase_margin_p3,phase-inter-contrast,0.0,0.5612367579908993,0.0,1.5365811774812266,0.0,0.06637714924797274
source_phase_compactness_p5,phase-intra-compactness,0.0,0.4207065548046447,0.0,0.9575514882143852,0.0,0.06447440447991477
source_phase_compactness_p3,phase-intra-compactness,0.0,0.4977646575865766,0.0,1.5929166251539044,0.0,0.05759128381812485
source_curve_spread,global-feature-structure,-0.43295861830200416,0.0,-0.10945813407312963,0.954649811669545,1.2249294940716773,0.054811045555664364
source_phase_separability_p3,phase-inter-contrast,0.0,0.35064744529490294,0.0,1.0424811524303281,0.0,0.05150315999895583
source_fisher_ratio,effect-discriminability,0.4941010121111428,0.0,0.17650052385827772,1.597174772481765,1.4829720886062234,0.04378402854386859
source_phase_separability_p1,phase-inter-contrast,0.0,-0.24809158228305467,0.0,0.8781879266049895,0.0,0.03962727777696421
source_phase_margin_p2,phase-inter-contrast,0.0,0.26540882450786313,0.0,1.0496137868445163,0.0,0.03884763454628299
source_phase_boundary_3,other-encoded,0.0,-0.24214741266508572,0.0,1.0287143831816974,0.0,0.03580800944763622
source_phase_separability_p2,phase-inter-contrast,0.0,0.11252850639217815,0.0,1.0272266806437922,0.0,0.01665257873723951
source_phase_separability_p5,phase-inter-contrast,0.0,0.11968893551048326,0.0,1.6669315290288338,0.0,0.013463667987839356
source_phase_margin_p4,phase-inter-contrast,0.0,0.12075949310762839,0.0,1.802119725893849,0.0,0.0129287294891485
source_phase_separability_p4,phase-inter-contrast,0.0,0.10313468933089287,0.0,1.678848780514905,0.0,0.011549889274944727
source_phase_margin_p5,phase-inter-contrast,0.0,0.08383913632397894,0.0,1.3887757738920976,0.0,0.010529134283798121
source_phase_boundary_4,other-encoded,0.0,-0.0346011831263322,0.0,0.11341517942453183,0.0,0.009322986725638806
source_phase_boundary_1,other-encoded,0.0,0.05612957075272602,0.0,1.0287143831816974,0.0,0.008300267088070261
source_phase_boundary_2,other-encoded,0.0,-0.05409053093801333,0.0,1.7010783919967272,0.0,0.0060076595072119845
source_phase_margin_p1,phase-inter-contrast,0.0,-0.009479658919125403,0.0,1.988357548180786,0.0,0.0009516591070131124
