group_name,group_value,metric,corr_with_class_f1,abs_corr,pair_count,row_count
source,AT1,relation_structure_distance,0.16518107186685393,0.16518107186685393,30,30
source,AT1,acf_distance,-0.16493566436354726,0.16493566436354726,30,30
source,AT1,best_shifted_curve_mse,0.1624371497627934,0.1624371497627934,30,30
source,AT1,source_curve_activity_range,-0.16215551400379963,0.16215551400379963,30,30
source,AT1,fisher_ratio_gap,0.16190656262549577,0.16190656262549577,30,30
source,AT1,pse_late_curve_distance,-0.16027718728298185,0.16027718728298185,30,30
source,AT1,pse_early_curve_distance,-0.1563991924130621,0.1563991924130621,30,30
source,AT1,source_curve_spread,-0.15628750807730665,0.15628750807730665,30,30
source,AT1,prototype_distance,0.15161618571679492,0.15161618571679492,30,30
source,AT1,target_curve_spread,-0.14995415185430563,0.14995415185430563,30,30
source,AT1,coral,0.14858114148642648,0.14858114148642648,30,30
source,AT1,source_fisher_ratio,0.14726306348420473,0.14726306348420473,30,30
source,AT1,class_relative_curve_structure_mse,0.14579855831455726,0.14579855831455726,30,30
source,AT1,target_curve_activity_range,-0.14336432732408425,0.14336432732408425,30,30
source,AT1,curve_spread_gap,0.1432306568886947,0.1432306568886947,30,30
source,AT1,target_fisher_ratio,0.13465662699561276,0.13465662699561276,30,30
source,AT1,raw_curve_activity_range_gap,-0.11591548188327787,0.11591548188327787,30,30
source,AT1,raw_target_curve_activity_range,0.11591548188327787,0.11591548188327787,30,30
source,AT1,raw_fisher_ratio_gap,0.10839663838485206,0.10839663838485206,30,30
source,AT1,raw_target_fisher_ratio,-0.10839663838485206,0.10839663838485206,30,30
source,AT1,mmd,0.10317503236107585,0.10317503236107585,30,30
source,AT1,curve_activity_range_gap,0.08769502532288073,0.08769502532288073,30,30
source,AT1,raw_target_ndvi_q90_range_std,0.08255096023585475,0.08255096023585475,30,30
source,AT1,target_ndvi_q90_range_std,0.08255096023585475,0.08255096023585475,30,30
source,AT1,domain_ndvi_curve_mse,-0.0804273071596312,0.0804273071596312,30,30
source,AT1,class_curve_variance_mean_gap,-0.06240848571985308,0.06240848571985308,30,30
source,AT1,raw_class_curve_variance_mean_gap,-0.06240848571985308,0.06240848571985308,30,30
source,AT1,raw_target_class_curve_variance_mean,0.06240848571985308,0.06240848571985308,30,30
source,AT1,target_class_curve_variance_mean,0.06240848571985308,0.06240848571985308,30,30
source,AT1,raw_curve_spread_gap,0.05528364474628515,0.05528364474628515,30,30
source,AT1,raw_target_curve_spread,-0.05528364474628515,0.05528364474628515,30,30
source,AT1,class_relative_curve_structure_corr,-0.050891926173352475,0.050891926173352475,30,30
source,AT1,pse_trend_curve_distance,-0.047562610154752556,0.047562610154752556,30,30
source,AT1,domain_bandwise_curve_mse,0.0432346630032028,0.0432346630032028,30,30
source,AT1,global_curve_shift_mse,0.043234553339657006,0.043234553339657006,30,30
source,AT1,ndvi_q90_range_mean_gap,0.03152208464709435,0.03152208464709435,30,30
source,AT1,raw_ndvi_q90_range_mean_gap,0.03152208464709435,0.03152208464709435,30,30
source,AT1,raw_target_ndvi_q90_range_mean,-0.03152208464709434,0.03152208464709434,30,30
