metric,dimension,transfer_overall_corr,phase_overall_corr,per_class_overall_corr,source_spread,class_spread,combined_score
source_ndvi_q90_range_mean,global-feature-structure,0.3797238670850955,0.0,0.10917990973077218,0.0,0.7306629271107818,0.12232186416688126
source_ndvi_q90_range_std,global-feature-structure,0.3428397448187498,0.0,0.07586518176415204,0.0,0.5914779199292034,0.11724505029294145
source_phase_boundary_3,other-encoded,0.0,-0.46809383606371613,0.0,0.30793608957226826,0.0,0.10736621761468389
source_phase_separability_p1,phase-inter-contrast,0.0,0.6263161957111383,0.0,0.7729144614981097,0.0,0.10598078068276946
source_phase_margin_p2,phase-inter-contrast,0.0,0.4285320836354223,0.0,0.5374178051469434,0.0,0.08362048667592945
source_phase_margin_p1,phase-inter-contrast,0.0,0.5436757750722662,0.0,1.3536909333869218,0.0,0.06929658019584488
source_phase_compactness_p2,phase-intra-compactness,0.0,0.45166091915215867,0.0,1.0812035584305133,0.0,0.06510572942121537
source_phase_margin_p3,phase-inter-contrast,0.0,0.5813747008954434,0.0,1.7044392073185066,0.0,0.0644911557991964
source_phase_boundary_1,other-encoded,0.0,-0.21010459049753208,0.0,0.0,0.0,0.06303137714925962
source_phase_compactness_p4,phase-intra-compactness,0.0,0.5848653346810067,0.0,1.8131502725851338,0.0,0.062371214973547806
source_phase_compactness_p1,phase-intra-compactness,0.0,0.5372106851488394,0.0,1.611273884337928,0.0,0.06171823128599693
source_phase_compactness_p3,phase-intra-compactness,0.0,0.5976755815899829,0.0,1.912135770564115,0.0,0.061570849920318735
source_phase_boundary_4,other-encoded,0.0,-0.4246838063305162,0.0,1.0933837847624586,0.0,0.06086086212500773
source_phase_separability_p3,phase-inter-contrast,0.0,0.49274405119488446,0.0,1.7570368708890385,0.0,0.0536166987533968
source_phase_margin_p4,phase-inter-contrast,0.0,0.4767087323933961,0.0,1.9680960356225086,0.0,0.048183285851134634
source_phase_separability_p4,phase-inter-contrast,0.0,0.37574290179050696,0.0,1.4710902349362864,0.0,0.045616654925617665
source_phase_compactness_p5,phase-intra-compactness,0.0,0.3952168253307251,0.0,1.808425931081193,0.0,0.04221761602720002
source_fisher_ratio,effect-discriminability,0.39820957692123005,0.0,0.11974165155564648,1.9766780874010834,1.4047886371355873,0.031160148476752893
source_phase_separability_p2,phase-inter-contrast,0.0,0.21033357496555954,0.0,1.3036794159365208,0.0,0.0273909954888474
source_phase_boundary_2,other-encoded,0.0,-0.09840389749502254,0.0,0.44007018606308806,0.0,0.02049981281066079
source_class_curve_variance_mean,global-feature-structure,0.06158971637247012,0.0,0.039810142336487414,0.0,0.956197588772671,0.01981235784972459
source_curve_spread,global-feature-structure,-0.19031642893891745,0.0,-0.02348563166401814,1.8004468172883723,1.5485757505393956,0.013990924797845068
source_curve_activity_range,global-feature-structure,-0.20474395153610503,0.0,-0.026664137825982433,1.9171227023723507,1.90453183490462,0.012711717537586913
source_phase_separability_p5,phase-inter-contrast,0.0,-0.010406563764476146,0.0,1.5772479056789657,0.0,0.0012113577131883917
source_phase_margin_p5,phase-inter-contrast,0.0,0.0055833398110547525,0.0,1.779355274967156,0.0,0.0006026584504696757
