source,target,source_dataset,target_dataset,target_f1,source_checkpoint,source_encoded_amplitude_l2_mean,source_encoded_amplitude_l2_std,source_encoded_temporal_norm_std_mean,source_encoded_phase_adjacent_contrast_mean,source_encoded_phase_global_contrast_mean,source_encoded_phase_early_late_distance_mean,source_encoded_phase_within_radius_mean,source_encoded_phase_within_radius_std,source_encoded_phase_internal_smoothness_mean,source_encoded_activity_path_length_mean,source_encoded_activity_directionality_mean,source_encoded_activity_step_norm_std
FR1,FR2,france/30TXT/2017,france/31TCJ/2017,0.7856309531217637,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,6.277820110321045,0.6580894589424133,0.3321029841899872,1.4993789196014404,1.5356438159942627,1.247856616973877,2.5830461978912354,0.06942591071128845,1.565454125404358,44.708465576171875,0.05377614125609398,0.5808470249176025
FR1,DK1,france/30TXT/2017,denmark/32VNH/2017,0.6764789225319998,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,6.277820110321045,0.6580894589424133,0.3321029841899872,1.4993789196014404,1.5356438159942627,1.247856616973877,2.5830461978912354,0.06942591071128845,1.565454125404358,44.708465576171875,0.05377614125609398,0.5808470249176025
FR1,AT1,france/30TXT/2017,austria/33UVP/2017,0.7045484099640862,outputs/pseltae_30TXT_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,6.277820110321045,0.6580894589424133,0.3321029841899872,1.4993789196014404,1.5356438159942627,1.247856616973877,2.5830461978912354,0.06942591071128845,1.565454125404358,44.708465576171875,0.05377614125609398,0.5808470249176025
FR2,FR1,france/31TCJ/2017,france/30TXT/2017,0.7559425081235643,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.720510482788086,1.02680504322052,0.6985352635383606,2.397538423538208,2.4726030826568604,1.8609490394592285,3.0806007385253906,0.11071096360683441,1.7086631059646606,50.68100357055664,0.06725303083658218,0.8692650198936462
FR2,DK1,france/31TCJ/2017,denmark/32VNH/2017,0.6928225173561364,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.720510482788086,1.02680504322052,0.6985352635383606,2.397538423538208,2.4726030826568604,1.8609490394592285,3.0806007385253906,0.11071096360683441,1.7086631059646606,50.68100357055664,0.06725303083658218,0.8692650198936462
FR2,AT1,france/31TCJ/2017,austria/33UVP/2017,0.6804602630309871,outputs/pseltae_31TCJ_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.720510482788086,1.02680504322052,0.6985352635383606,2.397538423538208,2.4726030826568604,1.8609490394592285,3.0806007385253906,0.11071096360683441,1.7086631059646606,50.68100357055664,0.06725303083658218,0.8692650198936462
DK1,FR1,denmark/32VNH/2017,france/30TXT/2017,0.5965442978412664,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.444477081298828,0.4765075445175171,0.4517803490161896,2.0828311443328857,2.1323559284210205,1.3300448656082153,3.581888437271118,0.12708693742752075,1.9362927675247192,56.209503173828125,0.05045187473297119,0.6259903907775879
DK1,FR2,denmark/32VNH/2017,france/31TCJ/2017,0.5128193691351199,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.444477081298828,0.4765075445175171,0.4517803490161896,2.0828311443328857,2.1323559284210205,1.3300448656082153,3.581888437271118,0.12708693742752075,1.9362927675247192,56.209503173828125,0.05045187473297119,0.6259903907775879
DK1,AT1,denmark/32VNH/2017,austria/33UVP/2017,0.6841103667162914,outputs/pseltae_32VNH_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,8.444477081298828,0.4765075445175171,0.4517803490161896,2.0828311443328857,2.1323559284210205,1.3300448656082153,3.581888437271118,0.12708693742752075,1.9362927675247192,56.209503173828125,0.05045187473297119,0.6259903907775879
AT1,FR1,austria/33UVP/2017,france/30TXT/2017,0.6656738896639324,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,9.49589729309082,0.7569803595542908,0.4631080627441406,2.353759288787842,2.4385221004486084,1.7510490417480469,3.6470284461975098,0.2966504693031311,2.487393617630005,69.60781860351562,0.04181886464357376,0.8907577991485596
AT1,FR2,austria/33UVP/2017,france/31TCJ/2017,0.6240635793912386,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,9.49589729309082,0.7569803595542908,0.4631080627441406,2.353759288787842,2.4385221004486084,1.7510490417480469,3.6470284461975098,0.2966504693031311,2.487393617630005,69.60781860351562,0.04181886464357376,0.8907577991485596
AT1,DK1,austria/33UVP/2017,denmark/32VNH/2017,0.7338456828779477,outputs/pseltae_33UVP_closedset_noshift_sourcephasecompact_p5_v223_current_s010_rel003/fold_0/model.pt,9.49589729309082,0.7569803595542908,0.4631080627441406,2.353759288787842,2.4385221004486084,1.7510490417480469,3.6470284461975098,0.2966504693031311,2.487393617630005,69.60781860351562,0.04181886464357376,0.8907577991485596
